target_id	length	eff_length	est_counts	tpm
Phel_contig_10251	562	265.262	5	2.03165
Phel_contig_10252	2899	2559.88	138	5.81048
Phel_contig_10253	589	286.586	0	0
Phel_contig_10254	1141	801.88	130	17.4738
Phel_contig_10255	2028	1688.88	125.145	7.98672
Phel_contig_10256	3882	3542.88	167	5.08057
Phel_contig_10257	2052	1712.88	132.675	8.34863
Phel_contig_10258	1359	1019.88	429	45.3378
Phel_contig_10259	1030	690.88	3	0.468027
Phel_contig_1026	4956	4616.88	806	18.8165
Phel_contig_10260	540	248.518	0	0
Phel_contig_10261	1051	711.88	389	58.8973
Phel_contig_10262	1895	1555.88	592.879	41.0717
Phel_contig_10263	1373	1033.88	143.34	14.9434
Phel_contig_10264	617	309.524	11	3.83046
Phel_contig_10265	2812	2472.88	440	19.1779
Phel_contig_10266	1519	1179.88	40	3.65405
Phel_contig_10267	1591	1251.88	22	1.89414
Phel_contig_10268	910	573.892	0	0
Phel_contig_10269	4551	4211.88	2645	67.6865
Phel_contig_1027	5445	5105.88	6659.83	140.587
Phel_contig_10270	598	293.819	8	2.93469
Phel_contig_10271	1258	918.88	10	1.17299
Phel_contig_10272	1873	1533.88	84	5.90256
Phel_contig_10273	5333	4993.88	1120.12	24.1757
Phel_contig_10274	3099	2759.88	260	10.154
Phel_contig_10275	2746	2406.88	299.714	13.4216
Phel_contig_10276	642	330.272	0	0
Phel_contig_10277	541	249.277	14.1092	6.1006
Phel_contig_10278	1293	953.88	56.32	6.36387
Phel_contig_10279	2187	1847.88	10	0.583282
Phel_contig_1028	1153	813.88	75.8067	10.0392
Phel_contig_10280	2098	1758.88	94	5.76029
Phel_contig_10281	2130	1790.88	678.209	40.8178
Phel_contig_10282	3364	3024.88	634.05	22.5927
Phel_contig_10283	2600	2260.88	276	13.1578
Phel_contig_10284	1105	765.88	153	21.5319
Phel_contig_10285	1451	1111.88	3064	297.018
Phel_contig_10286	539	247.766	1	0.435021
Phel_contig_10287	3154	2814.88	301	11.5255
Phel_contig_10288	534	243.9	0	0
Phel_contig_10289	543	250.664	4.87157	2.09474
Phel_contig_1029	574	274.395	3095	1215.73
Phel_contig_10290	1960	1620.88	175	11.637
Phel_contig_10291	1060	720.88	118	17.643
Phel_contig_10292	2939	2599.88	167	6.92334
Phel_contig_10293	1775	1435.88	234	17.5651
Phel_contig_10294	1159	819.88	44	5.78435
Phel_contig_10295	2553	2213.88	1276	62.1225
Phel_contig_10296	1042	702.88	8	1.22676
Phel_contig_10297	1639	1299.88	293.251	24.3158
Phel_contig_10298	5212	4872.88	498	11.0153
Phel_contig_10299	591	288.114	0	0
Phel_contig_103	827	495.927	97.6268	21.218
Phel_contig_1030	641	329.43	28	9.16109
Phel_contig_10300	695	376.518	2	0.572528
Phel_contig_10301	551	256.767	8	3.35817
Phel_contig_10302	2007	1667.88	210	13.5708
Phel_contig_10303	574	274.395	0	0
Phel_contig_10304	773	446.159	5	1.2079
Phel_contig_10305	1893	1553.88	287	19.9075
Phel_contig_10306	3299	2959.88	621	22.6136
Phel_contig_10307	648	335.345	11	3.53552
Phel_contig_10308	995	655.913	11	1.80759
Phel_contig_10309	3279	2939.88	367.011	13.4556
Phel_contig_1031	977	638.397	5900	996.125
Phel_contig_10310	971	632.524	155	26.4124
Phel_contig_10311	2468	2128.88	266	13.4674
Phel_contig_10312	1616	1276.88	36.381	3.07098
Phel_contig_10313	703	383.39	25	7.02833
Phel_contig_10314	5230	4890.88	410	9.03544
Phel_contig_10315	727	404.316	37	9.86356
Phel_contig_10316	5095	4755.88	497.949	11.2851
Phel_contig_10317	1033	693.88	214.656	33.3435
Phel_contig_10318	2116	1776.88	107	6.4905
Phel_contig_10319	1158	818.88	75	9.87173
Phel_contig_1032	1614	1274.88	89.5906	7.57436
Phel_contig_10320	863	529.328	236	48.0551
Phel_contig_10321	1951	1611.88	252.178	16.8627
Phel_contig_10322	2039	1699.88	388	24.6017
Phel_contig_10323	1297	957.88	277	31.1689
Phel_contig_10324	616	308.682	111	38.7583
Phel_contig_10325	1656	1316.88	85	6.95705
Phel_contig_10326	1052	712.88	617	93.287
Phel_contig_10327	2477	2137.88	331	16.6877
Phel_contig_10328	681	364.125	9.35077	2.76789
Phel_contig_10329	3309	2969.88	186	6.75035
Phel_contig_1033	5257	4917.88	12104.6	265.292
Phel_contig_10330	5053	4713.88	755.977	17.2855
Phel_contig_10331	1441	1101.88	40	3.91271
Phel_contig_10332	1224	884.88	520	63.339
Phel_contig_10333	576	275.992	51	19.9171
Phel_contig_10334	2680	2340.88	169	7.78144
Phel_contig_10335	645	332.753	3	0.971744
Phel_contig_10336	1333	993.88	296.655	32.1714
Phel_contig_10337	852	519.095	56.0835	11.645
Phel_contig_10338	534	243.9	16	7.07067
Phel_contig_10339	570	271.318	66.5316	26.4303
Phel_contig_1034	3823	3483.88	856.117	26.4864
Phel_contig_10340	1218	878.88	26.3614	3.23289
Phel_contig_10341	892	556.745	50	9.6798
Phel_contig_10342	629	319.405	282.694	95.3954
Phel_contig_10343	656	342.251	5	1.57463
Phel_contig_10344	3714	3374.88	919	29.3501
Phel_contig_10345	2086	1746.88	116.376	7.18046
Phel_contig_10346	1905	1565.88	219	15.0743
Phel_contig_10347	1693	1353.88	146	11.6232
Phel_contig_10348	1571	1231.88	1187	103.857
Phel_contig_10349	5922	5582.88	379	7.31701
Phel_contig_1035	4568	4228.88	1266.12	32.2703
Phel_contig_10350	1817	1477.88	242	17.6493
Phel_contig_10351	753	427.826	50	12.5967
Phel_contig_10352	853	519.99	25	5.182
Phel_contig_10353	568	269.709	29	11.5892
Phel_contig_10354	1817	1477.88	93.5759	6.8246
Phel_contig_10355	3936	3596.88	1150.44	34.4739
Phel_contig_10356	1171	831.88	135	17.4914
Phel_contig_10357	2306	1966.88	39.2373	2.15017
Phel_contig_10358	2517	2177.88	274	13.5603
Phel_contig_10359	1116	776.88	32	4.43965
Phel_contig_1036	1242	902.88	467.766	55.8407
Phel_contig_10360	996	656.913	55.5879	9.12063
Phel_contig_10361	3102	2762.88	217	8.46545
Phel_contig_10362	610	303.774	5	1.77407
Phel_contig_10363	1458	1118.88	115	11.0781
Phel_contig_10364	833	501.358	25.1399	5.40465
Phel_contig_10365	1120	780.88	71	9.80001
Phel_contig_10366	953	615.039	0	0
Phel_contig_10367	1544	1204.88	0	0
Phel_contig_10368	1924	1584.88	61.1054	4.15562
Phel_contig_10369	3082	2742.88	246.444	9.68421
Phel_contig_1037	2929	2589.88	8257	343.633
Phel_contig_10370	904	568.236	83	15.7435
Phel_contig_10371	1897	1557.88	15	1.03779
