PSC.0177	PSC.0186	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0230	PSC.0149	PSC.0174	PSC.0187	PSC.0188	PSC.0190	PSC.0228	PSC.0231
g8910.t1	229	183	167	173	89	201	345	54	62	33	67	28	67	24
g2907.t1	0	0	0	0	0	0	0	1	1	0	0	0	2	0
g5042.t1	309	246	395	367	170	485	603	38	27	143	534	57	216	495
g8767.t1	75	165	2	7	10	69	2	0	8	309	71	3	34	222
g17352.t1	83	115	86	76	117	68	100	169	108	197	153	104	231	139
g10639.t1	13	43	43	24	20	19	29	9	5	11	8	6	7	9
g2936.t1	127	75	97	60	130	67	142	267	221	254	212	215	424	181
g9975.t1	3	2	0	2	0	2	0	6	2	13	3	0	4	1
g14940.t1	9	17	14	19	11	12	18	0	1	15	8	1	5	15
g15962.t1	276	426	486	441	104	222	676	133	62	254	213	54	100	137
g10446.t1	9	24	26	11	0	8	13	0	0	10	15	6	8	0
g10732.t1	282	346	161	211	9	277	598	37	32	111	169	101	374	398
g9564.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g4504.t1	14	10	17	17	6	4	22	18	37	46	9	22	50	2
g12800.t1	450	589	2066	30	1496	161	1045	547	244	885	708	260	733	329
g4613.t1	596	396	553	327	347	557	537	437	460	169	205	185	257	215
g16953.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g8879.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g21472.t1	2	0	4	8	0	0	6	0	0	1	2	0	1	4
g21936.t1	6	10	3	4	0	5	15	1	3	38	23	0	11	15
g4464.t1	304	566	473	340	2334	1180	751	264	229	1487	1086	50	495	1411
g5707.t1	358	269	349	263	337	268	331	190	253	131	160	68	166	41
g21457.t1	2	15	9	13	16	3	72	18	5	76	79	9	118	18
g2662.t1	5	4	4	7	6	6	29	1	9	6	30	1	1	8
g19824.t2	22	26	10	8	0	39	36	106	149	114	144	120	215	112
g15192.t1	3	0	1	2	0	26	0	4	5	851	3	0	30	0
g19919.t1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
g20112.t1	0	3	5	33	0	22	24	0	2	89	58	5	36	37
g17842.t1	3	10	21	26	0	4	63	4	4	706	307	3	282	232
g6840.t1	96	143	81	89	198	111	168	107	46	63	73	44	97	41
g20665.t1	79	162	190	146	148	116	144	38	27	56	32	13	31	15
g19419.t1	1075	138	259	402	65	462	410	25438	8202	31157	21693	22951	50961	29753
g21654.t1	56	66	68	78	13	65	119	33	35	44	36	24	67	29
g13814.t1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
g18082.t1	0	0	0	2	0	0	1	0	0	2	2	0	0	1
g6956.t1	23	0	0	21	0	2	7	14	0	0	0	0	5	2
g12823.t1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
g17595.t1	74	82	95	75	30	74	91	74	69	40	48	32	71	17
g47.t1	15	3	1	4	8	32	37	5	11	32	49	8	47	21
g3556.t1	3	5	4	4	0	3	22	0	1	0	2	3	0	0
g11226.t1	159	167	420	161	114	88	223	121	73	208	90	33	94	40
g21731.t1	77	183	164	83	74	110	125	19	17	51	43	14	35	28
g13058.t1	0	0	1	0	0	1	3	0	0	0	0	0	1	0
g1057.t1	0	0	0	0	0	0	0	0	0	0	0	3	0	0
g21628.t1	1	0	0	0	11	1	2	2	8	0	6	4	1	5
g6645.t1	53	75	201	82	63	127	275	38	48	42	32	5	31	15
g16159.t1	0	0	0	0	0	0	0	1	4	0	0	0	0	0
g19336.t1	23	41	24	23	67	34	54	39	19	37	16	4	23	5
g16847.t1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
g1178.t1	88	38	88	62	171	100	136	59	7	253	186	55	103	107
g6089.t4	19	17	27	13	19	13	23	18	10	13	24	26	24	21
g4215.t1	14	2	1	8	0	8	19	6	0	25	33	8	16	8
g3755.t1	33	30	28	29	24	24	43	5	2	37	14	8	23	14
g4604.t1	12	14	14	12	17	31	27	10	4	49	16	0	9	1
g15891.t1	11	32	25	13	11	22	23	5	5	9	2	3	12	3
g16396.t1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
g1077.t1	2	1	1	3	0	5	1	4	2	276	0	0	10	0
g11584.t1	88	101	147	62	105	85	79	90	89	37	49	43	55	44
g21491.t1	0	0	0	1	6	0	0	0	0	0	0	0	1	0
g22980.t2	0	0	0	0	0	0	3	1	20	0	0	0	0	0
g3083.t1	1045	1234	724	787	1335	1155	1538	549	297	292	273	295	206	365
g4900.t1	0	0	0	0	0	0	0	4	0	3	3	0	1	1
g12060.t1	4	2	0	4	8	2	17	0	0	2	1	0	3	1
g15967.t1	203	191	209	161	236	139	229	191	161	104	74	74	118	64
g10481.t1	1437	1605	1558	1062	1281	1742	2242	560	228	308	433	70	196	131
g18870.t1	22	3	57	69	1	45	89	8	3	101	63	0	46	19
g7674.t1	4	1	10	9	7	3	9	0	0	4	8	1	5	0
g13082.t1	4	3	5	3	0	2	1	0	4	3	0	0	0	1
