PSC.0177	PSC.0186	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0230	PSC.0149	PSC.0174	PSC.0187	PSC.0188	PSC.0190	PSC.0228	PSC.0231
g13757.t1	423	407	434	362	588	477	673	426	619	320	305	133	330	277
g19622.t1	0	1	0	3	0	0	1	2	0	15	1	0	3	1
g872.t1	0	3	5	7	6	2	7	2	1	4	1	1	1	4
g11667.t1	1	9	6	2	4	6	5	0	8	15	15	30	19	12
g23177.t1	94	86	101	70	161	139	131	130	67	50	95	27	51	51
g6218.t1	87	89	103	88	49	109	137	77	98	84	86	37	99	44
g10457.t1	236	87	65	71	42	229	225	401	154	28	143	179	167	49
g24119.t1	49	89	55	49	51	56	100	18	16	24	33	5	14	26
g23358.t1	64	83	69	78	72	65	118	80	46	158	104	73	144	73
g16997.t1	8054	8280	9211	7703	10319	9027	15728	4619	2685	3664	4704	2561	4462	2501
g19354.t1	297	366	367	271	157	258	380	431	517	506	500	469	758	528
g36.t1	4	3	1	0	0	3	0	0	1	7	0	0	12	7
g20261.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g2319.t1	0	0	0	0	6	0	0	0	0	0	0	0	0	0
g12700.t1	598	524	759	486	522	614	691	526	564	379	594	211	433	395
g20156.t1	10	0	0	0	0	0	49	2	0	0	0	0	2	0
g21173.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g5236.t3	3	13	13	1	7	3	0	5	0	2	0	0	1	0
g15475.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g3952.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g21887.t1	0	0	0	5	0	0	1	0	0	0	0	0	2	0
g19012.t1	8395	9775	8457	8381	6536	6740	8875	8777	8325	11470	8427	9863	10111	11494
g2803.t1	233	192	258	215	161	239	360	63	63	30	22	9	61	18
g15361.t1	0	0	0	0	0	1	0	0	0	1	0	0	2	0
g22023.t1	122	88	213	16	3	491	77	62	1	463	166	17	213	55
g11619.t1	1	2	5	2	0	0	1	1	1	8	40	0	9	48
g5604.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g6933.t1	2	0	0	1	0	0	1	0	0	0	3	1	0	1
g21262.t1	207	319	374	317	234	270	701	1358	487	264	817	815	982	2507
g8648.t1	0	1	0	0	8	2	0	3	0	0	0	0	0	0
g18753.t1	126	189	176	101	134	140	157	61	43	33	46	11	33	8
g19544.t1	4	5	5	10	7	12	21	1	10	692	141	16	145	38
g9376.t1	8	3	11	8	0	10	11	5	14	3	4	3	12	3
g16261.t1	0	0	2	1	0	0	9	0	0	2	3	0	0	0
g6635.t1	23	4	1	12	3	8	3	0	6	10	37	0	10	12
g5226.t2	1	4	0	0	0	1	0	4	2	0	0	0	0	1
g2000.t1	20	2	1	9	17	14	1	17	16	19	0	0	19	0
g12892.t1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
g17793.t4	0	9	15	4	5	12	8	14	3	18	23	4	19	18
g18299.t2	0	5	19	5	0	4	7	5	3	3	8	0	0	8
g9108.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g20628.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g11259.t2	47	0	0	0	0	54	39	19	8	9	45	0	8	9
g17969.t1	18	7	3	8	8	13	2	4	7	6	1	8	26	0
g19730.t1	9	7	8	14	69	6	19	99	100	25	103	123	87	90
g9879.t1	4	5	3	11	0	4	13	3	2	241	86	67	115	72
g12300.t1	167	116	163	126	79	224	201	48	124	57	87	21	78	78
g17078.t1	83	87	93	77	183	87	145	124	408	450	404	328	625	217
g18546.t2	0	8	0	0	0	0	5	2	2	0	3	0	6	4
g1481.t1	3	5	4	6	11	7	3	4	1	1	1	2	14	2
g18124.t1	1	4	4	0	0	1	6	2	1	0	3	0	0	1
g20413.t1	227	234	309	184	308	238	329	318	237	70	280	361	563	692
g15359.t1	0	0	0	0	0	2	0	0	0	3	0	0	1	0
g14770.t1	0	0	0	0	0	3	0	0	0	1	0	0	0	2
g11942.t1	10	40	27	14	32	42	47	3	0	3	7	1	2	0
g3401.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g22748.t1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
g23652.t1	12	45	40	37	14	23	49	95	171	26	44	135	85	45
g14607.t2	52	44	80	55	76	31	115	54	53	100	93	149	163	114
g11158.t1	478	256	355	233	534	348	484	661	976	422	370	385	635	330
g7634.t1	1	0	0	0	0	0	0	0	0	0	2	0	0	0
g16663.t1	157	167	117	106	81	160	237	221	144	126	126	141	165	135
g13882.t1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g3884.t1	65	63	55	15	28	38	98	0	13	11	20	4	3	11
g8785.t1	6	1	7	24	0	4	25	3	1	58	32	1	24	64
g15754.t1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
g2751.t1	222	211	172	166	132	527	391	29	54	72	96	24	79	112
g22651.t1	5	16	0	12	22	0	0	0	12	6	0	0	0	0
g19480.t1	0	1	1	1	0	2	0	0	2	1	0	0	1	0
g21701.t1	77	128	159	178	272	128	175	23	26	495	372	19	148	536
g19579.t1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
g2752.t1	49	32	47	47	11	49	67	20	30	24	28	8	29	17
g21501.t2	1	0	6	0	5	2	16	1	3	0	1	1	1	4
g12958.t1	19	17	32	22	2	17	45	5	7	80	69	12	45	22
g2299.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g1416.t1	81	67	93	65	53	86	143	94	102	68	61	72	91	58
g23953.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g320.t1	348	582	307	289	557	182	436	81	50	174	103	109	222	280
g12727.t1	18	14	33	8	33	9	32	38	15	120	156	33	122	213
g2872.t1	0	0	0	0	0	6	12	0	18	0	10	36	18	11
g23226.t1	105	125	114	107	53	101	141	89	60	86	49	107	105	106
g529.t1	45	28	84	82	38	124	70	685	3682	1374	672	8931	2811	1747
g23846.t1	0	0	0	0	0	0	3	0	0	1	0	0	1	0
g21766.t1	15	15	25	19	0	13	43	2	3	305	26	2	96	8
g15094.t1	10	47	41	31	19	17	50	26	22	33	43	10	44	14
g80.t1	145	109	114	80	125	86	105	114	66	61	64	35	121	61
g3979.t1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
g7886.t1	4	6	0	0	0	5	0	0	5	9	1	0	2	1
g17812.t3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g5760.t1	4	0	0	0	0	0	0	0	0	0	0	0	1	0
g3107.t1	8	13	12	12	18	5	21	4	3	11	4	0	3	1
g1148.t2	6	0	9	4	1	4	0	0	0	0	18	2	0	2
g2447.t1	841	153	368	791	542	525	616	3272	2439	921	2305	3693	2565	4423
g20459.t1	13	36	10	3	1	30	20	2	0	9	21	0	10	2
g7727.t1	69	150	154	126	141	92	233	69	44	237	164	36	123	135
g8025.t1	134	67	81	127	155	164	55	48	114	151	37	43	205	26
g7509.t2	2	0	0	0	0	0	3	4	1	0	0	0	1	1
g11837.t1	40	19	28	11	0	52	38	30	10	30	9	10	32	51
g1880.t3	32	6	7	0	0	13	0	0	15	14	24	0	10	14
g15307.t1	356	256	266	324	323	326	471	272	274	254	257	204	336	180
g8047.t1	8	7	6	11	19	6	18	1	1	8	11	0	1	2
g24020.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g11848.t1	92	69	86	43	83	36	83	59	65	64	43	85	97	25
g12366.t1	158	294	291	173	141	199	470	349	2333	707	387	625	1025	434
g16777.t1	8	14	6	6	11	8	14	1	1	14	2	1	5	4
g530.t1	97	150	322	152	100	237	175	464	3559	2084	858	7379	5411	1372
g20838.t1	6	6	104	10	8	80	8	127	1371	10	4	78	3	103
g5802.t1	15	16	17	11	9	9	7	15	21	1	3	11	8	16
g18940.t1	26	18	5	71	17	1	71	3	0	2	3	0	3	1
g19348.t1	78	128	115	88	248	108	140	87	156	90	107	46	87	26
g11770.t1	8	6	11	9	12	28	16	22	21	34	17	63	40	13
g5970.t1	50	52	37	44	42	43	94	28	67	32	22	12	107	27
g20050.t1	26	59	40	48	28	28	41	38	21	24	15	20	20	18
g12308.t1	30	11	9	9	13	11	43	4	9	17	19	3	28	5
g12208.t1	3	2	0	0	0	0	0	1	0	1	0	0	2	0
g22775.t1	108	89	89	111	95	114	141	46	58	66	107	14	61	34
g7534.t3	14	15	6	18	10	40	34	14	18	513	137	20	158	146
g16399.t1	0	6	1	0	0	0	53	0	4	0	0	2	0	2
g7073.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g13632.t1	242	241	276	196	338	262	297	48	62	836	184	27	190	176
g1656.t1	3	6	14	4	9	4	6	1	2	21	1	0	15	0
g17785.t4	5	0	0	0	0	0	12	0	18	5	20	6	4	24
g13546.t3	0	0	0	0	0	0	8	0	0	0	0	0	44	8
g21516.t1	48	46	60	46	20	68	60	28	21	16	18	11	26	3
g1707.t1	141	193	157	142	161	222	365	180	127	69	90	60	77	95
g12407.t1	12	11	5	2	32	7	14	3	3	67	10	2	43	5
g1670.t1	22	19	33	22	24	19	22	7	3	24	42	2	8	30
g19075.t1	82	75	132	82	48	68	77	82	91	49	59	43	68	58
g5427.t2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g22740.t1	1	5	9	4	7	9	0	0	1	0	0	0	1	0
g4740.t1	35	113	72	86	8	2	22	18	4	136	422	125	289	20
g13134.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g5191.t1	68	68	136	130	51	123	112	81	77	132	78	42	106	14
g3180.t1	0	1	1	0	1	0	0	0	0	0	2	1	6	0
g12920.t1	18	32	16	19	24	32	28	13	4	7	11	3	20	13
g13372.t1	6	4	9	11	4	3	15	9	9	6	16	4	8	1
g12835.t1	11	0	29	0	0	4	5	4	0	0	5	0	0	5
g5631.t1	7	28	6	14	43	29	19	3	1	6	3	0	3	1
g21957.t1	2	0	0	0	0	0	0	0	0	1	0	0	0	0
g17137.t1	0	6	0	1	3	8	5	1	1	0	0	0	0	1
g14279.t1	47	66	108	54	40	74	123	22	13	27	18	12	20	13
g17267.t1	167	268	365	184	252	207	242	409	236	136	119	172	147	162
g6267.t2	29	9	71	42	70	39	59	11	10	97	49	0	26	12
g1229.t1	19	50	14	27	38	20	49	9	8	17	32	1	15	9
g16255.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g8873.t1	3059	2571	3187	2396	2700	3013	4002	1445	1266	1769	3301	1128	2610	1607
g13278.t1	58	77	74	50	29	86	101	64	57	66	54	38	82	21
g21460.t1	0	2	1	3	0	2	0	1	3	0	0	0	2	0
g16895.t2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g5718.t1	105	114	107	81	126	106	163	115	96	77	65	38	51	41
g14744.t1	67	72	82	73	78	89	110	66	73	57	92	60	73	47
g3908.t1	59	134	163	126	77	78	117	138	51	245	131	80	171	97
g21464.t1	4	2	0	2	4	2	5	0	0	1	0	0	0	0
g6150.t1	0	0	0	0	0	1	1	0	0	2	2	0	0	1
g3183.t2	13	15	11	13	5	0	0	0	0	43	371	0	15	357
g13089.t1	18	25	31	17	4	18	27	10	7	5	11	2	7	0
g6017.t1	27	22	19	23	51	44	62	33	16	76	106	80	210	276
g16845.t1	0	0	0	2	0	0	0	0	1	1	0	0	0	0
g14890.t1	72	38	75	57	83	43	57	74	30	28	54	24	37	19
g20311.t1	304	237	387	343	204	269	436	805	1049	482	722	2832	1322	1681
g6440.t1	724	473	621	471	408	525	887	643	548	368	476	504	622	565
g13402.t1	200	247	213	217	202	142	152	294	99	169	169	120	211	125
g11771.t1	1	0	0	2	0	0	1	2	0	3	1	1	3	1
g5389.t1	116	200	166	194	262	130	393	22	436	449	496	58	209	421
g5579.t1	16	0	11	22	0	6	2	0	0	4	7	0	1	5
g7609.t1	382	603	566	511	496	363	474	129	63	158	215	57	116	62
g2509.t1	4497	3096	3886	3605	2458	4393	4460	6025	8063	2941	3640	4035	5059	4854
g21941.t1	1	0	3	2	0	17	4	6	0	1	6	4	6	2
g20422.t1	41	11	18	24	37	29	17	3	3	29	187	1	14	226
g7256.t2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g859.t1	2	11	4	6	0	4	4	2	0	0	2	0	0	11
g12875.t1	0	0	3	0	0	0	0	0	0	0	0	0	0	0
g20556.t1	24	55	51	41	34	41	41	6	0	18	21	0	5	5
g9628.t1	13	27	28	26	30	19	15	8	9	10	8	6	14	3
g13609.t1	18	19	25	8	1	19	11	4	21	15	8	2	31	1
g14325.t1	370	257	334	388	494	411	369	846	552	307	358	512	456	422
g16860.t1	0	3	0	0	0	0	0	0	0	0	0	7	0	0
g7926.t1	701	808	956	782	777	774	1471	1030	1954	6041	3425	2456	3621	4137
g10463.t1	15	20	12	9	18	20	21	15	2	23	15	4	27	18
g9208.t1	48	45	24	7	23	52	81	37	21	30	32	0	59	36
g7526.t2	5	2	5	5	18	6	7	9	8	11	0	1	5	0
g7289.t1	4	37	22	6	34	8	6	7	11	4	5	1	9	0
g20194.t1	0	0	1	0	0	0	0	0	0	3	0	0	0	0
g2656.t1	26	35	43	36	19	29	68	20	21	11	17	9	17	15
g3175.t1	15	11	3	0	2	6	12	15	26	10	5	5	40	16
g8980.t1	68	112	103	69	20	97	86	74	46	58	40	13	46	28
g15498.t1	0	0	0	0	0	0	1	1	1	5	0	1	0	0
g11858.t1	11	16	19	46	33	23	19	3	3	78	28	7	47	10
g2508.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g2313.t2	0	0	1	2	2	0	2	0	2	1	0	0	0	0
g8354.t1	2	7	3	2	11	6	6	4	4	2	12	0	4	5
g16702.t1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
g1092.t1	163	80	157	85	143	100	128	137	96	104	73	41	130	93
g1231.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g15943.t1	81	0	62	51	1	1	4	21	22	1	12	13	11	17
g10928.t2	251	427	568	419	366	294	413	250	321	159	227	206	230	48
g8948.t1	1	0	0	5	0	4	0	0	0	6	22	0	0	16
g5213.t1	510	1453	1289	893	2755	3403	1854	806	895	526	308	78	156	74
g18070.t1	1	2	1	1	0	0	4	0	1	2	12	0	11	0
g16802.t1	3	18	23	11	0	22	34	4	2	8	5	0	2	4
g17892.t1	0	0	0	0	0	1	0	1	1	0	0	0	2	1
g23763.t1	93	87	85	66	88	79	138	47	25	138	53	27	110	62
g21080.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g1826.t1	109	41	176	539	32	126	189	82	5	239	178	24	608	73
g9138.t1	110	108	110	126	172	116	112	119	208	108	81	79	121	103
g3459.t1	3	29	14	24	7	11	31	6	4	62	18	2	8	9
g13911.t1	1	13	13	7	1	3	9	2	3	5	7	0	2	8
g155.t1	127	3	11	44	35	40	36	3	1	134	460	9	46	2789
g12632.t1	1	0	0	0	0	0	0	0	0	6	0	0	1	3
g1125.t1	188	294	230	115	222	240	333	71	370	139	94	300	167	105
g5813.t1	117	50	54	43	21	53	62	62	68	70	89	47	65	40
g10432.t1	337	247	304	217	332	354	452	109	173	90	114	27	77	43
g13942.t1	182	169	140	51	72	73	187	72	494	484	392	421	732	478
g23734.t1	2	5	12	6	0	10	9	4	0	3	6	3	0	6
g9118.t1	2	0	8	1	0	2	4	2	0	3	45	1	52	1
g7808.t1	299	80	78	43	57	227	146	840	390	1347	642	1616	1495	1417
g20705.t1	464	230	381	247	253	208	485	511	987	617	515	725	1020	728
g19526.t1	133	200	266	157	141	276	247	116	66	125	128	51	111	63
g3996.t1	10	15	18	24	26	3	21	3	1	37	29	3	9	104
g1527.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g2632.t1	0	12	63	157	0	20	106	0	0	112	85	0	59	69
g16988.t1	38	46	73	63	25	55	78	42	17	142	76	20	89	43
g12672.t1	100	92	92	92	75	88	82	136	466	255	210	259	137	237
g2911.t1	12	29	20	9	49	22	17	6	4	14	6	3	1	14
g21420.t1	3	0	2	1	0	0	0	1	0	0	2	0	0	1
g22340.t2	369	197	210	171	192	372	292	299	414	225	357	455	751	477
g15774.t1	80	150	167	98	166	133	251	83	277	218	143	130	158	220
g21078.t1	0	0	0	0	0	0	0	3	1	0	0	0	0	0
g11696.t1	12	7	6	27	0	12	12	3	1	2	0	3	6	1
g14500.t1	3	5	17	54	16	2	24	3	7	28	16	1	9	5
g10091.t1	88	101	99	85	172	116	153	132	159	36	68	122	140	103
g5067.t1	7	7	6	1	0	4	5	3	0	21	9	0	8	3
g2136.t1	0	1	2	1	0	2	2	0	0	0	0	0	0	0
g8809.t1	0	1	7	1	0	0	5	0	3	2	4	0	0	2
g11355.t1	149	163	206	186	128	135	202	109	105	78	87	37	118	64
g7942.t1	5	1	0	47	7	2	3	5	4	19	7	0	6	0
g10622.t1	10	8	4	15	0	11	13	1	2	18	14	0	13	4
g12046.t1	14	32	61	47	22	29	40	21	20	87	127	47	68	193
g17713.t1	0	0	0	0	0	1	0	0	5	2	0	0	1	0
g21535.t1	1	15	34	94	1	5	50	10	11	12	30	1	51	7
g18628.t1	4	9	18	10	0	0	0	0	0	16	10	5	0	7
g4731.t1	774	767	1262	579	269	887	980	259	328	141	182	58	161	95
g23738.t1	194	97	121	93	208	143	174	80	106	23	65	16	57	50
g4159.t1	8	10	12	11	30	9	15	7	1	4	2	2	7	3
g13918.t1	252	366	399	326	147	244	292	226	429	225	206	363	344	180
g13023.t1	47	39	48	35	37	35	56	17	62	40	49	23	45	42
g11688.t1	2	3	0	3	0	5	0	25	4	0	8	6	2	5
g21639.t1	0	0	1	1	0	0	0	5	0	0	2	0	0	0
g16577.t1	39	85	86	46	41	92	80	31	24	29	20	5	20	18
g16650.t1	27	38	25	42	33	24	40	5	8	8	8	13	20	8
g11394.t4	17	23	0	32	36	84	21	5	78	82	80	33	124	55
g16239.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g13607.t1	15	26	21	27	12	45	32	16	105	53	23	18	73	7
g5450.t1	3	31	209	857	17	9	68	7	16	36	20	1	94	63
g17447.t1	82	105	102	88	82	66	111	38	50	69	42	10	62	29
g15900.t1	0	3	17	17	0	3	3	8	15	26	113	375	293	86
g19318.t1	11	47	23	103	7	74	101	4	15	29	53	1	64	20
g11006.t1	205	235	280	234	142	192	391	169	305	328	286	451	437	283
g16218.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g23697.t1	157	200	260	266	141	195	260	252	340	216	246	523	457	369
g19341.t1	3	1	5	3	0	2	6	6	1	14	8	14	5	2
g14143.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g19071.t1	38	79	101	83	53	94	147	50	48	1326	108	35	193	185
g6393.t1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g4834.t1	40	88	86	83	142	30	236	69	27	37	47	18	28	20
g4844.t1	68	62	73	62	35	70	106	36	16	61	132	13	68	53
g14864.t1	192	207	260	194	269	251	274	87	61	291	122	51	139	114
g12627.t1	7	3	6	13	0	7	7	0	4	6	8	0	25	1
g14907.t1	21	17	17	19	13	25	21	5	5	85	33	6	34	22
g16089.t1	22	34	43	76	10	28	67	10	5	36	42	3	20	40
g17568.t1	1397	1749	1674	1532	3454	698	2069	2382	3394	3886	2188	2997	3270	3060
g18555.t1	0	0	0	1	0	0	2	0	0	0	4	0	3	0
g16381.t1	17	5	8	10	36	24	27	8	22	0	11	2	14	3
g929.t1	104	44	31	115	28	109	18	60	99	154	2	22	163	10
g3317.t1	151	156	173	123	80	124	116	85	96	73	98	33	62	57
g12342.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g11348.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g22719.t1	4	2	1	6	2	13	2	0	2	295	103	3	26	119
g9019.t2	140	220	190	103	293	281	421	162	170	187	197	138	129	66
g22226.t1	36	32	48	41	32	67	81	69	116	246	483	829	1790	1931
g6895.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g18202.t1	3	0	2	1	1	0	0	1	0	3	0	0	3	0
g17350.t1	76	65	66	62	45	45	35	26	41	53	44	15	56	28
g11650.t1	523	530	759	502	466	746	678	626	553	230	508	335	466	426
g2611.t1	16	22	24	27	31	35	40	16	22	84	21	26	31	42
g11549.t1	0	1	10	2	3	6	0	9	0	19	27	3	8	44
g10895.t1	88	260	188	171	237	162	262	79	87	342	150	57	155	82
g8902.t1	9	10	9	11	24	5	13	15	14	13	13	12	3	6
g1240.t1	0	2	7	0	0	127	3	3	5	19	13	26	10	12
g21237.t1	2	1	1	6	3	2	3	0	2	0	1	2	4	2
g8676.t1	11	2	4	4	0	12	6	63	50	24	22	757	148	146
g17785.t3	0	0	3	6	0	5	4	0	7	0	5	0	5	0
g1412.t1	12	20	10	9	1	3	21	25	14	43	34	43	90	66
g22400.t1	519	443	410	340	720	443	527	558	537	399	499	259	566	576
g4282.t1	140	355	271	234	302	215	305	97	130	265	128	58	155	138
g5521.t1	2	0	0	0	0	0	0	0	0	0	0	1	1	0
g18763.t1	2	13	13	8	4	8	18	4	4	8	5	2	1	6
g14071.t1	0	0	0	0	0	1	0	3	0	0	0	0	0	0
g2713.t3	57	77	87	60	58	92	85	58	34	39	44	14	62	23
g12956.t1	225	340	266	269	142	264	343	126	68	188	139	88	162	92
g18227.t2	95	33	24	58	47	69	89	35	17	35	40	18	30	3
g21123.t1	30	28	46	180	18	87	160	22	6	751	147	16	239	161
g6643.t1	1	0	0	0	0	0	0	1	0	3	0	0	0	0
g16689.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g3752.t1	378	243	285	203	448	344	456	349	405	244	232	141	288	145
g16644.t1	1882	2952	3839	1645	2633	1686	2470	510	510	138	335	273	214	200
g21353.t1	268	374	390	340	218	344	405	412	233	383	413	251	599	553
g12908.t2	137	10	23	47	48	11	10	2143	123	1124	2189	475	3021	71
g8632.t1	594	652	638	590	1518	699	888	722	506	584	472	440	531	551
g3985.t2	0	0	0	0	0	0	49	0	19	0	0	0	11	0
g5089.t1	21	7	48	13	85	26	48	19	10	21	35	10	3	51
g6507.t1	0	5	0	3	0	1	2	0	1	12	15	0	6	26
g15175.t1	0	6	0	2	0	0	0	0	5	0	0	0	1	0
g10818.t1	9	13	17	7	0	6	33	1	0	1	3	4	0	2
g3284.t1	9	23	28	22	9	30	33	0	10	4	3	0	1	9
g5402.t1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
g11444.t1	0	0	0	6	0	1	0	0	0	23	0	0	3	2
g23903.t1	189	198	142	111	155	132	73	72	82	52	30	99	30	43
g8045.t1	469	277	1189	879	1837	730	1482	16	591	323	84	31	99	9
g10034.t1	64	73	49	56	92	80	94	90	53	52	70	87	80	25
g7724.t1	39	50	47	78	34	58	81	6	7	57	17	11	19	0
g2174.t1	1	1	0	0	0	0	6	3	1	0	0	1	2	0
g1259.t1	0	0	0	2	0	0	0	0	1	0	0	0	4	0
g6732.t1	860	778	1029	623	746	794	906	768	329	345	445	401	374	259
g18863.t1	3	2	12	13	2	36	20	2	4	201	87	0	35	72
g15271.t1	1	0	0	2	0	0	3	0	3	16	1	4	1	0
g17124.t1	139	154	209	187	296	108	170	711	159	378	982	1508	1956	4053
g8583.t1	22	32	37	65	39	54	81	15	5	160	207	10	73	279
g22322.t1	28	37	34	31	30	36	33	21	8	7	13	1	7	2
g4127.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g8156.t1	71	172	109	89	164	113	204	9	9	28	19	3	14	36
g17258.t1	107	11	19	28	171	65	84	381	538	1624	1169	2465	1671	2152
g12524.t1	1	2	10	3	0	7	24	6	4	5	15	0	3	1
g16262.t1	0	1	2	0	0	0	0	0	0	0	3	0	0	0
g4953.t1	123	109	99	81	47	102	168	100	105	72	48	58	99	40
g13896.t1	2	0	0	2	0	7	0	0	12	3	1	9	19	1
g16733.t1	5	5	10	2	4	5	12	2	6	1	3	2	1	2
g23496.t1	199	170	114	123	117	134	199	81	67	68	65	21	93	35
g12313.t1	40	36	26	18	50	32	48	6	6	6	12	3	15	0
g10057.t1	0	1	0	3	0	1	0	1	0	3	0	0	7	0
g22165.t2	2	0	1	6	0	2	3	0	0	0	0	0	0	0
g15529.t1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g13099.t1	115	202	201	188	358	195	216	92	105	58	117	35	68	33
g21299.t1	31	1	1	9	13	8	0	4	1	16	67	0	2	147
g6896.t1	2	9	2	20	0	0	102	1	61	0	3	13	7	2
g7680.t1	97	112	223	124	176	115	125	94	56	1453	490	568	627	683
g15833.t1	0	0	0	1	0	0	4	1	1	69	11	0	29	22
g13078.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g7009.t1	9	2	2	6	17	1	0	0	1	3	3	0	4	0
g5255.t1	1	0	0	2	8	0	0	0	0	0	0	0	0	0
g12262.t1	18	29	28	39	0	22	23	25	49	298	78	44	107	92
g17806.t1	2	0	1	0	12	0	0	6	4	10	0	0	8	0
g18499.t1	2	1	3	14	0	3	7	1	0	60	26	0	15	25
g4820.t1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g11581.t1	301	269	219	220	113	276	364	85	170	91	134	52	135	45
g409.t2	28	3	10	30	33	0	12	14	6	251	151	0	75	259
g804.t1	0	0	6	17	0	1	21	4	2	0	7	0	4	2
g21692.t1	48	30	32	26	20	60	53	41	26	28	23	9	37	8
g813.t1	1	2	17	33	0	0	18	4	6	30	74	0	54	7
g6337.t1	0	4	4	25	1	1	13	0	1	13	10	1	1	11
g8437.t2	9	33	19	46	91	195	158	75	268	1977	545	609	799	1040
g19175.t1	33	6	1	31	75	11	1	1	2	183	516	25	47	1554
g12237.t1	0	4	0	3	11	1	0	0	4	7	0	1	11	0
g2475.t1	10	20	17	21	13	18	58	15	1	22	18	7	9	14
g17025.t1	445	914	1438	1337	2008	473	353	1100	644	870	1071	1342	1185	2914
g17851.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g15684.t1	5	8	13	29	5	31	5	53	90	226	88	426	94	72
g7655.t1	15	12	6	22	35	29	45	35	12	116	68	20	45	94
g21170.t1	0	0	6	22	0	0	4	0	2	10	4	0	7	8
g14267.t1	2	0	0	0	0	1	0	2	2	33	8	0	5	1
g5824.t1	618	1422	1616	1407	113	581	1025	157	438	3457	1283	458	1334	922
g2451.t1	88	569	432	430	181	219	160	158	17	55	73	24	61	102
g21443.t1	22	22	35	11	16	10	44	5	5	9	12	18	14	10
g10314.t1	1547	1131	1252	1050	2000	1229	1372	2427	1542	774	1141	1501	1220	1414
g23332.t2	0	0	0	0	8	0	0	0	0	0	0	0	0	0
g4735.t1	0	0	1	0	0	0	0	0	0	0	3	0	0	0
g8733.t1	86	65	65	54	31	56	84	77	84	40	43	30	88	34
g8663.t1	13	27	25	13	6	16	31	25	16	21	17	7	17	7
g6472.t1	74	29	17	27	71	29	55	28	38	24	26	5	31	7
g365.t1	1	0	0	0	0	0	0	0	3	9	0	0	1	2
g14533.t1	17	7	10	21	44	20	16	1	14	20	19	9	28	6
g265.t1	0	2	6	9	4	2	6	2	4	15	2	1	2	0
g12739.t1	4	3	1	5	9	2	21	1	1	2	5	0	10	1
g2197.t2	0	0	0	0	0	2	0	0	2	4	0	0	0	0
g20690.t1	32	15	13	30	5	16	41	15	11	423	114	4	100	110
g4104.t1	9	12	18	20	7	25	27	10	15	16	31	7	12	7
g7715.t1	61	60	85	88	55	120	91	84	197	125	93	167	196	87
g21387.t1	522	365	434	365	528	421	339	1607	2381	2719	2267	6097	5974	5557
g16233.t1	11	0	1	0	10	0	18	5	6	1	0	2	5	0
g15720.t2	21	24	29	23	46	22	47	25	14	17	12	4	21	5
g5805.t1	77	76	70	62	37	87	77	57	51	38	30	9	39	33
g6248.t2	133	74	52	50	25	114	171	245	173	97	207	196	195	190
