PSC.0149	PSC.0150	PSC.0174	PSC.0187	PSC.0188	PSC.0190	PSC.0228	PSC.0231
g1234.t1	68	43	116	107	70	25	81	43
g16833.t1	0	2	0	0	2	0	0	0
g1606.t1	19	9	55	125	67	66	76	66
g14309.t1	73	78	68	48	94	17	74	43
g10420.t1	48	30	141	41	52	39	83	38
g21758.t1	0	2	0	0	0	0	1	0
g14166.t1	0	0	0	0	0	0	0	0
g9114.t1	0	7	0	0	0	0	0	0
g21097.t1	48763	9249	26292	7673	15957	11880	10998	10685
g19193.t2	28	12	11	25	17	8	28	11
g2564.t1	77	8	148	230	150	307	359	224
g19591.t1	108	89	92	248	267	29	111	314
g1024.t1	403	126	372	269	459	195	312	220
g10530.t1	0	0	0	0	0	0	0	0
g4268.t1	161	125	107	189	142	49	155	164
g15090.t1	22	47	225	501	1613	65	717	26
g11977.t2	42	49	83	244	136	65	178	91
g986.t1	97	118	95	160	92	160	415	96
g19518.t1	3576	534	2933	1237	1926	1424	1880	2128
g13964.t1	58	26	69	279	133	74	187	70
g8688.t1	2	8	3	23	4	0	8	4
g12132.t1	2	1	2	8	13	6	15	0
g4031.t1	66	35	42	338	172	35	145	232
g17363.t1	20	0	1	14	34	2	103	35
g8753.t1	7	37	9	5	47	3	13	0
g16840.t1	0	0	0	3	0	0	0	0
g20969.t1	74	71	30	97	117	372	376	434
g11727.t1	150	30	390	153	85	208	366	179
g385.t1	6	38	10	88	49	11	25	25
g2718.t1	12	6	2	2	3	0	4	8
g11322.t1	0	6	0	11	21	0	0	6
g6225.t1	0	4	0	10	3	3	45	1
g15163.t1	4	22	2	0	16	2	1	13
g5217.t1	0	2	0	0	2	0	0	0
g22062.t1	0	1	0	0	0	0	1	1
g10496.t1	33	143	42	50	65	17	39	29
g17802.t1	6	8	0	117	7	0	29	10
g3197.t1	3	10	0	1	5	1	0	1
g19458.t1	0	3	0	0	0	0	0	0
g12572.t1	3	6	1	9	1	0	0	0
g2743.t1	8	19	11	6	9	1	9	6
g2492.t1	6	19	11	24	9	5	16	7
g15360.t1	1	3	0	3	0	0	3	1
g10513.t1	588	149	964	1003	1751	1401	1115	2204
g1772.t1	110	66	362	178	171	375	301	273
g8580.t1	297	65	409	202	234	80	191	141
g16151.t1	0	1	0	0	18	0	0	13
g5080.t1	32	8	17	19	8	6	9	5
g17642.t2	3	24	10	8	5	5	0	5
g6954.t1	22	20	19	9	30	4	8	36
g1238.t1	11	9	23	27	48	24	42	91
g22173.t2	0	17	0	0	3	0	0	0
g11247.t1	4950	752	4859	6387	7136	2801	4160	11249
g12742.t1	1	9	0	0	0	0	0	0
g12429.t1	0	1	0	0	0	0	0	0
g3389.t1	18	8	7	9	27	2	18	8
g21724.t1	0	2	0	6	3	0	4	1
g13568.t1	0	10	0	0	0	0	0	0
g6054.t1	0	12	0	0	0	1	1	0
g7645.t2	379	42	353	325	307	279	321	246
g20192.t1	9	85	3	34	2	1	11	3
g15831.t1	1	2	0	7	6	0	4	3
g14755.t1	3	16	5	21	11	0	0	22
g2714.t1	2	7	4	6	3	1	5	2
g13502.t1	155	69	202	123	127	66	182	97
