PSC.0149	PSC.0150	PSC.0174	PSC.0187	PSC.0188	PSC.0190	PSC.0228	PSC.0231
g6440.t1	643	108	548	368	476	504	622	565
g13402.t1	294	29	99	169	169	120	211	125
g11771.t1	2	1	0	3	1	1	3	1
g5389.t1	22	94	436	449	496	58	209	421
g5579.t1	0	4	0	4	7	0	1	5
g7609.t1	129	81	63	158	215	57	116	62
g2509.t1	6025	995	8063	2941	3640	4035	5059	4854
g21941.t1	6	79	0	1	6	4	6	2
g20422.t1	3	46	3	29	187	1	14	226
g7256.t2	0	0	0	0	0	0	0	0
g859.t1	2	3	0	0	2	0	0	11
g12875.t1	0	0	0	0	0	0	0	0
g20556.t1	6	19	0	18	21	0	5	5
g9628.t1	8	8	9	10	8	6	14	3
g13609.t1	4	2	21	15	8	2	31	1
g14325.t1	846	77	552	307	358	512	456	422
g16860.t1	0	0	0	0	0	7	0	0
g7926.t1	1030	193	1954	6041	3425	2456	3621	4137
g10463.t1	15	3	2	23	15	4	27	18
g9208.t1	37	29	21	30	32	0	59	36
g7526.t2	9	50	8	11	0	1	5	0
g7289.t1	7	4	11	4	5	1	9	0
g20194.t1	0	6	0	3	0	0	0	0
g2656.t1	20	9	21	11	17	9	17	15
g3175.t1	15	13	26	10	5	5	40	16
g8980.t1	74	137	46	58	40	13	46	28
g15498.t1	1	2	1	5	0	1	0	0
g11858.t1	3	7	3	78	28	7	47	10
g2508.t1	0	0	0	0	0	0	0	0
g2313.t2	0	3	2	1	0	0	0	0
g8354.t1	4	20	4	2	12	0	4	5
g16702.t1	0	0	0	0	0	0	0	0
g1092.t1	137	161	96	104	73	41	130	93
g1231.t1	0	1	0	0	0	0	0	0
g15943.t1	21	0	22	1	12	13	11	17
g10928.t2	250	58	321	159	227	206	230	48
g8948.t1	0	1	0	6	22	0	0	16
g5213.t1	806	215	895	526	308	78	156	74
g18070.t1	0	9	1	2	12	0	11	0
g16802.t1	4	11	2	8	5	0	2	4
g17892.t1	1	1	1	0	0	0	2	1
g23763.t1	47	43	25	138	53	27	110	62
g21080.t1	0	0	0	0	0	0	0	0
g1826.t1	82	103	5	239	178	24	608	73
g9138.t1	119	78	208	108	81	79	121	103
g3459.t1	6	34	4	62	18	2	8	9
g13911.t1	2	10	3	5	7	0	2	8
g155.t1	3	15	1	134	460	9	46	2789
g12632.t1	0	4	0	6	0	0	1	3
g1125.t1	71	35	370	139	94	300	167	105
g5813.t1	62	30	68	70	89	47	65	40
g10432.t1	109	56	173	90	114	27	77	43
g13942.t1	72	59	494	484	392	421	732	478
g23734.t1	4	16	0	3	6	3	0	6
g9118.t1	2	38	0	3	45	1	52	1
g7808.t1	840	161	390	1347	642	1616	1495	1417
g20705.t1	511	63	987	617	515	725	1020	728
g19526.t1	116	50	66	125	128	51	111	63
g3996.t1	3	7	1	37	29	3	9	104
g1527.t1	0	0	0	0	0	0	0	0
g2632.t1	0	43	0	112	85	0	59	69
g16988.t1	42	165	17	142	76	20	89	43
g12672.t1	136	38	466	255	210	259	137	237
g2911.t1	6	6	4	14	6	3	1	14
g21420.t1	1	0	0	0	2	0	0	1
g22340.t2	299	0	414	225	357	455	751	477
g15774.t1	83	14	277	218	143	130	158	220
g21078.t1	3	5	1	0	0	0	0	0
g11696.t1	3	6	1	2	0	3	6	1
g14500.t1	3	94	7	28	16	1	9	5
g10091.t1	132	37	159	36	68	122	140	103
g5067.t1	3	25	0	21	9	0	8	3
g2136.t1	0	0	0	0	0	0	0	0
g8809.t1	0	4	3	2	4	0	0	2
g11355.t1	109	24	105	78	87	37	118	64
g7942.t1	5	33	4	19	7	0	6	0
g10622.t1	1	8	2	18	14	0	13	4
g12046.t1	21	51	20	87	127	47	68	193
g17713.t1	0	7	5	2	0	0	1	0
g21535.t1	10	24	11	12	30	1	51	7
g18628.t1	0	0	0	16	10	5	0	7
g4731.t1	259	105	328	141	182	58	161	95
g23738.t1	80	16	106	23	65	16	57	50
g4159.t1	7	13	1	4	2	2	7	3
g13918.t1	226	41	429	225	206	363	344	180
g13023.t1	17	13	62	40	49	23	45	42
g11688.t1	25	2	4	0	8	6	2	5
g21639.t1	5	26	0	0	2	0	0	0
g16577.t1	31	24	24	29	20	5	20	18
g16650.t1	5	110	8	8	8	13	20	8
g11394.t4	5	72	78	82	80	33	124	55
g16239.t1	0	0	0	0	0	0	0	0
g13607.t1	16	10	105	53	23	18	73	7
g5450.t1	7	53	16	36	20	1	94	63
g17447.t1	38	136	50	69	42	10	62	29
g15900.t1	8	17	15	26	113	375	293	86
g19318.t1	4	12	15	29	53	1	64	20
g11006.t1	169	63	305	328	286	451	437	283
g16218.t1	0	0	0	0	0	0	0	0
g23697.t1	252	39	340	216	246	523	457	369
g19341.t1	6	1	1	14	8	14	5	2
g14143.t1	0	0	0	0	0	0	0	0
g19071.t1	50	286	48	1326	108	35	193	185
g6393.t1	1	4	0	0	0	0	0	0
g4834.t1	69	40	27	37	47	18	28	20
g4844.t1	36	34	16	61	132	13	68	53
g14864.t1	87	122	61	291	122	51	139	114
g12627.t1	0	37	4	6	8	0	25	1
g14907.t1	5	15	5	85	33	6	34	22
g16089.t1	10	36	5	36	42	3	20	40
g17568.t1	2382	628	3394	3886	2188	2997	3270	3060
g18555.t1	0	9	0	0	4	0	3	0
g16381.t1	8	10	22	0	11	2	14	3
g929.t1	60	2264	99	154	2	22	163	10
g3317.t1	85	28	96	73	98	33	62	57
g12342.t1	0	4	0	0	0	0	0	0
g11348.t1	0	2	0	0	0	0	0	0
g22719.t1	0	6	2	295	103	3	26	119
g9019.t2	162	50	170	187	197	138	129	66
g22226.t1	69	133	116	246	483	829	1790	1931
g6895.t1	0	8	1	0	0	0	0	0
g18202.t1	1	6	0	3	0	0	3	0
g17350.t1	26	56	41	53	44	15	56	28
g11650.t1	626	78	553	230	508	335	466	426
g2611.t1	16	11	22	84	21	26	31	42
g11549.t1	9	5	0	19	27	3	8	44
g10895.t1	79	43	87	342	150	57	155	82
g8902.t1	15	0	14	13	13	12	3	6
g1240.t1	3	4	5	19	13	26	10	12
g21237.t1	0	7	2	0	1	2	4	2
g8676.t1	63	8	50	24	22	757	148	146
g17785.t3	0	4	7	0	5	0	5	0
g1412.t1	25	16	14	43	34	43	90	66
g22400.t1	558	179	537	399	499	259	566	576
g4282.t1	97	49	130	265	128	58	155	138
g5521.t1	0	17	0	0	0	1	1	0
g18763.t1	4	21	4	8	5	2	1	6
g14071.t1	3	6	0	0	0	0	0	0
g2713.t3	58	54	34	39	44	14	62	23
g12956.t1	126	60	68	188	139	88	162	92
g18227.t2	35	5	17	35	40	18	30	3
g21123.t1	22	53	6	751	147	16	239	161
g6643.t1	1	5	0	3	0	0	0	0
g16689.t1	0	0	0	0	0	0	0	0
g3752.t1	349	50	405	244	232	141	288	145
g16644.t1	510	199	510	138	335	273	214	200
g21353.t1	412	51	233	383	413	251	599	553
g12908.t2	2143	193	123	1124	2189	475	3021	71
g8632.t1	722	119	506	584	472	440	531	551
g3985.t2	0	0	19	0	0	0	11	0
g5089.t1	19	18	10	21	35	10	3	51
g6507.t1	0	16	1	12	15	0	6	26
g15175.t1	0	0	5	0	0	0	1	0
g10818.t1	1	1	0	1	3	4	0	2
g3284.t1	0	4	10	4	3	0	1	9
g5402.t1	0	3	0	0	1	0	0	0
g11444.t1	0	18	0	23	0	0	3	2
g23903.t1	72	60	82	52	30	99	30	43
g8045.t1	16	30	591	323	84	31	99	9
g10034.t1	90	25	53	52	70	87	80	25
g7724.t1	6	6	7	57	17	11	19	0
g2174.t1	3	6	1	0	0	1	2	0
g1259.t1	0	7	1	0	0	0	4	0
g6732.t1	768	98	329	345	445	401	374	259
g18863.t1	2	13	4	201	87	0	35	72
g15271.t1	0	18	3	16	1	4	1	0
g17124.t1	711	41	159	378	982	1508	1956	4053
g8583.t1	15	29	5	160	207	10	73	279
g22322.t1	21	13	8	7	13	1	7	2
g4127.t1	0	2	0	0	0	0	0	0
g8156.t1	9	48	9	28	19	3	14	36
g17258.t1	381	59	538	1624	1169	2465	1671	2152
g12524.t1	6	14	4	5	15	0	3	1
g16262.t1	0	1	0	0	3	0	0	0
g4953.t1	100	62	105	72	48	58	99	40
g13896.t1	0	115	12	3	1	9	19	1
g16733.t1	2	14	6	1	3	2	1	2
g23496.t1	81	67	67	68	65	21	93	35
g12313.t1	6	12	6	6	12	3	15	0
g10057.t1	1	9	0	3	0	0	7	0
g22165.t2	0	10	0	0	0	0	0	0
g15529.t1	1	3	0	0	0	0	0	0
g13099.t1	92	33	105	58	117	35	68	33
g21299.t1	4	25	1	16	67	0	2	147
g6896.t1	1	20	61	0	3	13	7	2
g7680.t1	94	59	56	1453	490	568	627	683
g15833.t1	1	12	1	69	11	0	29	22
g13078.t1	0	1	0	0	0	0	0	0
g7009.t1	0	62	1	3	3	0	4	0
g5255.t1	0	4	0	0	0	0	0	0
g12262.t1	25	21	49	298	78	44	107	92
g17806.t1	6	107	4	10	0	0	8	0
g18499.t1	1	1	0	60	26	0	15	25
g4820.t1	1	3	0	0	0	0	0	0
g11581.t1	85	13	170	91	134	52	135	45
g409.t2	14	69	6	251	151	0	75	259
g804.t1	4	4	2	0	7	0	4	2
g21692.t1	41	21	26	28	23	9	37	8
g813.t1	4	24	6	30	74	0	54	7
g6337.t1	0	4	1	13	10	1	1	11
g8437.t2	75	30	268	1977	545	609	799	1040
g19175.t1	1	40	2	183	516	25	47	1554
g12237.t1	0	103	4	7	0	1	11	0
g2475.t1	15	1	1	22	18	7	9	14
g17025.t1	1100	135	644	870	1071	1342	1185	2914
g17851.t1	0	4	0	0	0	0	0	0
g15684.t1	53	7	90	226	88	426	94	72
g7655.t1	35	16	12	116	68	20	45	94
g21170.t1	0	6	2	10	4	0	7	8
g14267.t1	2	41	2	33	8	0	5	1
g5824.t1	157	238	438	3457	1283	458	1334	922
g2451.t1	158	61	17	55	73	24	61	102
g21443.t1	5	15	5	9	12	18	14	10
g10314.t1	2427	356	1542	774	1141	1501	1220	1414
g23332.t2	0	0	0	0	0	0	0	0
g4735.t1	0	10	0	0	3	0	0	0
g8733.t1	77	29	84	40	43	30	88	34
g8663.t1	25	24	16	21	17	7	17	7
g6472.t1	28	28	38	24	26	5	31	7
g365.t1	0	10	3	9	0	0	1	2
g14533.t1	1	24	14	20	19	9	28	6
g265.t1	2	50	4	15	2	1	2	0
g12739.t1	1	39	1	2	5	0	10	1
g2197.t2	0	0	2	4	0	0	0	0
g20690.t1	15	60	11	423	114	4	100	110
g4104.t1	10	10	15	16	31	7	12	7
g7715.t1	84	24	197	125	93	167	196	87
g21387.t1	1607	296	2381	2719	2267	6097	5974	5557
g16233.t1	5	32	6	1	0	2	5	0
g15720.t2	25	8	14	17	12	4	21	5
g5805.t1	57	26	51	38	30	9	39	33
g6248.t2	245	12	173	97	207	196	195	190
g13548.t1	0	8	0	0	1	0	0	0
g20191.t1	85	40	40	54	56	35	48	81
g2749.t1	3	30	4	26	9	1	21	7
g6068.t1	0	1	1	45	16	3	13	32
g6779.t1	0	2	0	0	0	0	0	0
g3770.t1	31	11	23	45	31	8	15	15
g1938.t1	2	1	8	0	1	4	20	35
g5991.t1	35	47	77	142	287	48	122	373
g12690.t1	1	9	1	0	0	0	1	0
g5038.t1	1	3	2	44	34	8	49	13
g8629.t2	0	0	0	0	0	0	0	0
g11171.t1	10	23	7	7	8	3	12	16
g17169.t1	58	36	41	39	26	12	22	51
g12792.t1	2	0	14	0	12	12	19	8
g5614.t1	27	19	3	27	26	8	39	8
g11130.t1	3	19	1	11	6	1	5	8
g17761.t1	24	16	18	34	21	1	38	15
g15369.t1	7	19	9	17	36	4	9	36
g20544.t1	71	7	61	31	59	12	41	30
g5607.t1	5	27	2	913	1	2	55	1
g1302.t1	0	11	0	0	0	2	0	0
g7993.t1	0	0	0	0	0	0	0	0
g6869.t1	30	71	34	67	48	14	32	26
g9190.t1	0	2	0	1	0	0	0	0
g2055.t1	0	1	0	0	0	0	0	0
g6814.t1	12	118	19	10	2	0	48	0
g10588.t1	11	52	15	28	75	4	30	26
g3141.t1	14	19	27	69	23	0	14	24
g7199.t1	4	0	0	0	0	0	7	0
g20143.t1	21	115	39	140	228	75	144	71
g22924.t1	9	8	13	19	7	9	11	2
g17097.t1	2	1	0	6	3	0	0	1
g16701.t1	2	19	1	0	0	0	0	0
g13914.t1	134	69	117	74	64	90	78	42
g10621.t1	5	6	3	68	58	5	144	13
g1104.t1	4	5	6	33	70	5	22	47
g18067.t1	814	113	177	99	148	93	138	136
g20548.t1	0	6	0	0	0	0	0	0
g8001.t1	211	26	1205	120	82	54	43	151
g6688.t1	0	0	0	0	0	0	0	0
g8862.t2	8	1	8	12	0	2	12	2
g800.t1	36	23	92	86	40	11	37	17
g4947.t1	20	12	39	60	78	36	40	76
g18029.t1	2	7	1	12	5	4	5	6
g7425.t1	0	0	0	0	0	0	0	0
g9036.t2	15	0	0	0	0	0	0	0
g23522.t1	1	65	4	11	7	2	15	2
g15797.t1	53	148	22	81	62	8	141	28
g15108.t3	0	20	0	14	9	0	12	0
g5082.t1	7	1	14	3	9	1	18	2
g18463.t1	66	11	132	60	58	54	108	50
g7698.t1	0	5	1	3	0	0	0	1
g6018.t1	41	37	35	22	40	23	37	25
g17298.t1	2	14	3	31	18	2	11	31
g16059.t1	0	5	0	0	1	1	0	10
g20617.t1	0	0	0	0	0	0	0	0
g11605.t1	1	29	0	2	0	0	4	0
g21090.t1	0	30	0	0	0	0	0	0
g17527.t1	497	133	154	141	233	105	172	151
g10363.t1	0	2	0	0	0	0	0	0
g7244.t1	0	0	0	0	0	0	0	0
g18047.t1	0	10	0	1	2	4	1	2
g9390.t1	1	19	3	1	7	0	7	6
g16530.t1	3	25	3	9	4	0	0	1
g14186.t1	1	15	0	87	0	0	2	0
g6267.t1	58	6	12	42	51	45	99	21
g23602.t1	15	3	13	15	14	10	17	15
g296.t1	96	80	256	32	71	20	47	56
g15303.t2	0	0	0	0	0	0	38	22
g4772.t1	117	139	132	197	118	140	173	120
g21307.t1	1	3	0	0	0	0	0	0
g10719.t1	5	29	2	440	604	1	176	304
g4737.t1	29	22	49	36	19	5	29	16
g19587.t1	166	52	118	109	100	43	134	67
g5559.t1	3	10	3	8	7	3	12	3
g22809.t1	170	101	125	114	117	47	145	72
g14788.t1	7120	600	7438	13345	9360	46653	38985	28431
g319.t1	0	4	0	1	0	0	0	5
g23323.t1	0	0	0	0	0	0	0	0
g12065.t1	0	9	3	9	0	0	2	1
g19718.t1	0	0	0	196	47	3	28	25
g8079.t1	0	0	0	0	0	0	0	0
g10711.t1	0	44	0	3	14	0	8	0
g22112.t1	0	2	0	0	0	0	2	0
g11431.t2	0	8	0	5	8	0	0	6
g21480.t1	0	0	0	6	3	0	0	1
g18733.t1	0	23	1	3	0	0	1	0
g6675.t1	0	5	0	9	1	0	0	9
g9156.t1	23	4	11	13	16	2	17	0
g20265.t1	161	28	52	400	463	46	304	102
g10680.t1	17	61	24	19	63	1	5	50
g5112.t1	1	4	1	0	2	1	2	2
g21614.t2	3	16	3	17	7	0	24	2
g23944.t1	44	0	11	18	16	20	15	13
g12603.t1	2	6	0	0	0	0	0	0
g3637.t1	17	163	32	77	42	5	42	18
g21583.t1	4	13	6	75	40	0	21	28
g20840.t1	0	7	0	1	0	0	0	0
g23941.t1	0	0	0	0	0	0	0	0
g16697.t1	0	2	1	15	6	5	7	3
g11347.t3	0	0	0	10	19	0	0	0
g1107.t2	57	16	75	125	95	43	79	91
g7800.t1	6	75	6	13	3	4	15	0
g9260.t1	4	0	0	0	0	0	0	0
g7867.t1	6	24	11	7	1	0	13	0
g2539.t1	1	19	2	1	1	0	2	0
g21288.t1	0	0	0	0	0	0	0	0
g17337.t1	10	2	0	4	1	0	8	2
g10928.t3	9	9	0	113	51	0	0	107
g5743.t1	0	0	0	0	0	0	0	0
g5682.t3	0	9	2	89	50	1	86	7
g210.t1	6	6	3	13	50	33	119	88
g11531.t1	0	0	0	0	0	0	0	0
g11773.t1	0	0	10	0	4	7	4	1
g2744.t1	0	49	5	1	4	0	12	10
g486.t3	34	18	17	227	185	36	78	333
g7710.t1	0	25	1	0	1	0	0	0
g6803.t1	1	2	0	26	4	0	0	25
g23948.t1	0	9	0	0	0	0	0	0
g17542.t1	6	41	5	15	5	16	9	5
g11635.t1	0	9	2	16	128	0	48	4
g19020.t1	99	17	42	75	91	137	108	125
g1897.t1	0	0	0	0	0	0	0	0
g17084.t1	150	38	337	245	224	141	404	179
g7866.t1	1	43	1	20	21	1	8	1
g6526.t1	8	85	15	58	50	7	40	19
g114.t1	0	1	0	0	0	0	0	0
g17640.t1	27	60	2	3	0	0	3	0
g1664.t1	328	92	163	1049	585	158	646	271
g14604.t1	10	93	6	5	2	8	5	7
g2726.t1	0	2	0	0	0	0	0	0
g10118.t1	13	13	5	17	11	4	22	9
g4101.t1	0	17	3	13	190	1	2	120
g12396.t1	3845	603	3157	561	952	2321	947	1679
g15708.t1	12	152	34	1645	611	17	615	815
g2600.t1	5	39	3	62	42	3	15	21
g1975.t1	3	5	3	4	9	1	5	10
g19737.t1	15	11	5	6	20	14	41	5
g3429.t1	0	32	0	2	0	0	3	0
g23875.t1	0	31	0	4	0	1	4	0
g23175.t1	287	81	231	294	253	138	261	183
g10852.t1	109	78	61	124	212	87	138	51
g8795.t1	3	148	7	4	6	1	23	0
g23325.t1	0	0	0	0	0	0	0	0
g8914.t1	21	4	15	9	19	10	13	9
g20385.t1	1	41	0	5	1	0	4	0
g17277.t1	0	24	2	18	11	0	5	2
g9507.t1	0	0	0	0	0	0	0	0
g16288.t1	0	1	0	0	0	0	0	0
g17273.t1	20	8	22	64	61	11	33	36
g10155.t1	13	14	3	90	88	28	33	190
g5683.t1	15	58	4	25	19	22	20	20
g21027.t1	14	2	23	21	26	18	26	6
g7202.t1	0	7	0	0	0	0	0	0
g8560.t4	78	18	9	105	98	114	76	137
g15216.t1	0	3	0	0	2	0	0	0
g6309.t1	2	12	1	21	135	0	3	287
g11301.t1	3	19	23	2	4	10	6	9
g11499.t1	0	6	0	0	0	0	0	0
g23069.t1	8	56	3	14	6	1	6	8
g7970.t1	1	4	0	1	0	1	0	0
g9576.t1	13	70	1	16	3	0	0	1
g22199.t1	447	171	259	221	265	730	359	352
g14953.t1	262	76	315	447	312	433	424	412
g19155.t1	104	34	115	84	69	75	103	52
g13123.t1	1986	87	571	2542	2084	4271	4332	6744
g17181.t1	4	4	0	2	5	1	3	0
g7208.t1	0	4	0	0	0	0	0	0
g15650.t1	33	19	33	11	22	5	20	7
g18200.t1	0	1	0	0	0	0	0	0
g18349.t1	3	24	0	4	2	0	2	0
g12770.t1	51	27	29	42	62	50	29	41
g11534.t1	0	0	0	0	0	0	0	0
g17503.t1	6	14	11	3	4	5	9	0
g7113.t3	0	2	0	0	0	0	0	0
g11108.t1	0	1	0	0	0	0	0	0
g12282.t1	36	24	32	30	36	3	18	11
g1440.t1	4	20	4	93	51	1	10	118
g20460.t2	0	13	0	1	9	0	0	3
g9746.t1	370	146	856	568	568	1034	917	592
g22948.t1	12	16	2	5	16	1	2	9
g17109.t1	13	117	6	43	52	9	46	9
g179.t1	371	53	170	549	403	259	419	308
g13401.t1	6141	351	481	1198	4009	1419	1348	2208
g11287.t1	0	6	0	0	0	0	0	0
g9182.t1	32540	4363	45436	20536	18821	23496	32316	26020
g2018.t1	0	1	0	0	0	0	0	0
g2123.t2	0	153	35	150	144	44	86	141
g17705.t1	0	6	0	0	0	0	0	0
g2870.t1	83	41	228	115	135	53	142	70
g18484.t1	1	0	0	0	0	0	0	0
g22149.t1	2	8	1	4	3	1	1	3
g514.t1	22	35	13	17	45	3	18	7
g20228.t1	26	189	37	3310	16571	115	437	16666
g1612.t1	0	3	0	0	0	0	0	0
g9331.t1	122	28	85	107	117	43	85	124
g12797.t1	0	1	0	0	0	0	0	0
g1182.t1	1	1	0	0	0	0	0	0
g17688.t1	4	0	0	5	2	2	5	0
g16601.t2	132	0	153	50	110	50	71	96
g10374.t1	0	11	1	3	4	0	0	0
g16848.t1	0	1	0	0	0	0	0	0
g6497.t1	24	65	14	32	24	7	32	8
g20616.t1	0	0	0	0	0	0	2	1
g17473.t1	1	0	0	4	0	1	1	0
g11146.t1	14	88	29	29	7	18	26	13
g20961.t1	178	44	219	115	203	100	174	138
g18388.t1	0	0	2	0	1	1	0	3
g13765.t1	94	17	83	63	67	39	47	60
g42.t1	0	0	0	0	0	0	0	0
g8398.t1	0	0	0	0	0	0	0	0
g9452.t1	2	0	0	5	0	1	2	2
g20693.t1	57	14	12	34	39	10	26	30
g19365.t1	0	0	0	0	5	0	6	1
g14752.t1	0	0	4	0	0	0	0	0
g2510.t1	124	38	421	115	124	165	20	102
g7205.t1	3	13	1	1	1	0	0	0
g20197.t1	0	97	6	38	27	16	54	44
g15353.t2	0	0	0	0	0	0	0	7
g8440.t1	251	64	412	153	107	477	221	116
g12382.t1	6	7	14	16	44	2	8	7
g16712.t1	12	23	13	15	17	8	18	13
g22590.t1	0	3	0	0	0	0	1	0
g15527.t1	0	0	0	0	0	0	0	0
g23621.t1	26	3	16	15	20	10	17	23
g22978.t1	12	9	3	13	12	2	1	8
g17793.t1	15	22	4	7	3	10	8	19
g1278.t1	0	0	0	0	0	0	0	0
g6733.t1	11	5	2	15	15	5	5	6
g10152.t1	115	32	375	141	122	103	173	26
g7229.t1	0	0	1	0	0	0	0	1
g18431.t1	0	2	0	0	3	0	0	6
g4421.t1	433	113	86	207	321	56	163	213
g17118.t1	0	5	2	0	0	0	0	4
g14978.t2	0	1	0	0	0	0	0	0
g570.t1	1	3	2	6	7	0	1	3
g1332.t1	27	13	21	40	18	6	30	12
g12650.t1	510	86	348	302	324	155	365	248
g13419.t1	370	76	250	283	261	328	454	420
g2186.t1	27	18	18	57	35	18	41	12
g2296.t1	0	0	0	0	0	0	0	0
g6477.t1	34	0	47	50	21	20	30	16
g3056.t1	0	1	4	311	69	1	60	207
g20513.t1	81	4	92	8	26	61	28	11
g3131.t1	1	11	0	2	3	0	2	0
g19145.t1	96	45	105	97	107	23	101	69
g12213.t1	3	15	0	0	0	0	0	0
g22335.t1	3	4	0	0	2	5	2	3
g13674.t1	5	1	17	109	27	0	11	153
g22108.t1	316	70	459	8895	4743	1838	3844	10950
g4207.t1	14	26	15	36	88	6	9	24
g21690.t2	0	0	0	14	8	0	19	7
g19981.t1	486	116	377	148	233	126	200	186
g11736.t2	13	31	5	50	24	5	17	10
g18883.t1	343	51	226	160	215	181	314	72
g17762.t1	17	31	1	50	42	8	14	30
g10082.t1	0	5	1	4	3	0	4	2
g21879.t1	64	20	66	104	74	83	79	42
g2419.t1	48	62	60	58	52	17	81	39
g14196.t1	0	0	0	0	0	0	0	0
g13633.t1	70	31	98	195	190	66	70	103
g10160.t4	0	10	0	0	0	0	0	0
g23916.t1	0	5	0	0	0	0	0	0
g21512.t1	152	15	182	80	130	109	136	129
g4427.t2	0	0	0	0	0	0	0	0
g3950.t1	1	4	1	82	0	0	11	1
g4304.t1	62	103	75	237	137	137	164	125
g12217.t1	239	217	288	205	255	199	258	119
g636.t1	1	6	0	0	0	0	1	0
g20573.t1	5	3	10	3	12	0	1	10
g6515.t1	9	5	0	1	1	9	0	3
g24136.t1	0	3	1	38	61	3	18	32
g2056.t1	0	0	0	0	0	0	0	0
g17304.t1	0	8	0	0	2	0	7	0
g17750.t1	53	15	37	19	18	7	26	15
g17462.t1	2	5	0	1	0	1	3	0
g1556.t1	1	8	0	0	0	0	0	0
g15970.t1	264	86	272	510	341	142	290	190
g24131.t1	26	79	16	1162	563	6	241	695
g2088.t1	3	74	16	123	1	5	69	0
g16227.t1	0	1	0	4	0	0	5	0
g9481.t1	7	19	1	4	14	3	5	5
g1261.t1	13	3	35	48	28	8	19	16
g22852.t1	0	0	0	3	3	1	1	0
g15378.t1	37	19	30	26	19	25	96	35
g20008.t1	1	21	0	0	4	1	0	0
g9475.t1	0	3	0	1	0	0	0	0
g7998.t1	0	0	1	1	1	0	0	0
g21372.t2	71	34	24	58	77	9	19	54
g12119.t1	2	0	1	1	2	2	2	0
g16562.t1	22	6	15	30	30	8	43	6
g11675.t1	2038	313	4517	4530	3864	18093	9162	10370
g9683.t1	33	59	60	87	79	17	39	18
g11481.t2	14	96	0	0	0	0	0	0
g12231.t1	0	3	0	2	0	0	0	0
g13578.t1	49	102	125	132	127	41	53	61
g4311.t1	220	126	198	306	301	560	443	436
g13586.t1	0	2	0	0	1	0	3	1
g12136.t1	0	3	0	11	0	0	1	1
g8199.t1	28	42	24	27	57	8	37	197
g18112.t1	0	7	1	0	1	1	0	0
g2029.t1	7	10	7	14	14	12	9	7
g14828.t1	3	38	10	6	8	0	15	5
g18847.t1	68	42	2	0	13	0	20	0
g4563.t1	36	5	21	16	31	10	11	19
g14009.t1	9	14	6	8	22	3	7	8
g14812.t1	34	4	8	17	18	3	12	3
g3224.t1	20	17	42	57	61	23	43	38
g23433.t1	1	4	1	0	3	1	2	0
g5537.t1	890	191	1248	638	1053	373	830	600
g642.t1	0	21	5	69	34	3	49	22
g23861.t1	0	22	0	5	0	0	0	0
g5135.t1	1	2	1	42	12	184	31	10
g12134.t1	0	5	68	8	8	51	81	55
g22896.t1	0	4	0	12	3	0	3	0
g5252.t1	0	1	0	0	0	0	0	0
g23683.t1	145	55	221	151	137	150	171	149
g19865.t1	1	14	59	18	16	0	10	16
g9143.t1	0	11	0	4	1	0	0	0
g5319.t1	0	0	0	0	0	0	0	1
g4461.t1	3	5	1	17	13	0	1	23
g22141.t1	97	52	63	66	65	14	65	19
g13811.t1	2	21	0	124	31	3	9	83
g713.t1	91	97	94	104	82	75	113	99
g21319.t1	46	29	77	62	59	16	51	96
g2001.t1	30	34	6	179	118	8	65	11
g15053.t1	40	39	30	162	59	39	56	52
g11154.t1	72	66	41	57	114	12	37	39
g6608.t1	4	34	9	38	37	4	28	5
g23124.t1	48	47	49	40	37	37	54	42
g1148.t1	0	0	7	0	16	0	46	0
g2458.t1	3	1	0	0	0	0	0	0
g12899.t1	159	56	92	203	159	67	185	112
g3842.t1	90	114	133	125	111	44	121	54
g6945.t1	0	1	0	0	0	0	0	0
g14816.t1	0	5	1	0	0	0	0	0
g6006.t1	7	14	0	4	3	2	7	13
g1223.t1	0	3	0	10	7	0	8	2
g7275.t1	6	169	3	0	0	0	8	0
g6600.t1	0	27	2	12	1	0	9	1
g19937.t4	0	1	22	0	0	0	4	0
g9422.t1	18	0	42	14	32	33	8	24
g19560.t1	12	4	4	18	16	0	11	1
g16769.t1	414	97	344	138	335	167	335	104
g7536.t2	0	9	3	4	9	0	7	5
g11083.t1	376	63	432	241	271	144	234	164
g10078.t1	0	2	0	1	0	0	1	0
g5054.t1	3	72	1	13	4	0	1	0
g21066.t1	37	62	25	111	38	26	40	145
g2524.t1	1	70	5	2	0	3	2	0
g18662.t1	123	26	144	158	130	249	178	134
g19279.t1	3	5	0	0	0	0	0	0
g6496.t1	78	74	53	31	116	82	103	39
g14751.t1	133	91	74	476	240	129	273	247
g15170.t2	0	0	0	0	0	0	0	0
g10769.t2	39	41	42	48	48	0	68	26
g5981.t1	75	31	90	87	77	167	132	63
g22174.t1	93	50	134	43	101	47	103	29
g18528.t1	5	7	0	0	0	0	0	3
g204.t5	0	8	0	0	0	0	0	0
g18003.t1	7	3	21	22	19	2	26	15
g13618.t1	0	2	0	0	0	0	0	0
g12465.t1	168	78	162	186	161	51	222	98
g14190.t1	0	8	0	0	15	3	1	6
g6527.t1	62	35	102	2000	1169	5992	10839	3961
g8562.t1	7	0	6	9	3	0	5	6
g15118.t1	0	4	0	0	0	0	0	0
g8062.t1	3	5	6	0	22	0	3	3
g4801.t1	0	11	0	0	0	0	1	0
