gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0149	PSC.0150	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231
54	g10208.t1	28.4245244008988	1.04258024271945	0.337671030525707	3.08756200108814	0.00201805669227255	0.0104033002731761	19	15	16	20	61	24	20	3	44	40	70	43	12	87	17
55	g10209.t1	236.537458230963	0.595060618902683	0.217477092911025	2.73619906785372	0.00621534141591161	0.0254053049072738	210	62	195	293	420	212	162	146	451	236	453	340	134	448	135
56	g10212.t1	40.4149986997317	1.76315273821115	0.350292642264503	5.03337074627963	4.819297954718e-07	9.82709813857906e-06	32	15	14	63	109	25	20	5	63	70	85	101	12	97	4
57	g10216.t1	45.466980538137	2.16063861669553	0.458793883392069	4.70938845287334	2.48461145381515e-06	4.00257399875583e-05	10	9	1	61	107	19	55	5	115	86	96	90	13	175	11
58	g10238.t1	33.6774614002467	-2.0449566587936	0.541515811019113	-3.77635632641098	0.000159139285330125	0.00131061227183755	15	5	19	14	16	90	57	16	39	13	4	19	107	11	82
59	g10251.t1	18.2748836669439	-1.34842861627262	0.538027542424532	-2.5062445877699	0.0122021179631269	0.0427726542664046	12	5	16	19	6	77	25	13	12	2	19	19	11	13	23
60	g10265.t1	81.9766354810949	1.92579037736544	0.531675519783891	3.62211594422894	0.00029220309216588	0.00217468658376636	78	33	38	123	183	32	13	7	126	164	112	316	24	202	2
61	g10267.t1	632.748051377926	-1.9794146759051	0.394742252611872	-5.01444844783655	5.3185809766768e-07	1.06543980954076e-05	987	178	1197	595	290	661	493	1040	315	231	151	326	1230	284	512
62	g10268.t1	56.7556406561995	0.803263553688996	0.229124668789357	3.50579253614751	0.000455249917927177	0.00309805156667438	52	22	22	97	112	68	42	17	103	77	61	102	41	124	24
63	g10270.t1	182.942707345069	-1.04591575137544	0.314007272217147	-3.33086474077631	0.000865766590188084	0.00525557244071807	188	32	228	137	166	221	164	257	211	120	106	124	277	221	212
64	g10273.t1	16.201680758332	-3.78374458086699	0.988283619225006	-3.82860193902043	0.000128873251012329	0.00110356901818998	19	0	50	1	0	56	27	18	0	7	1	5	40	5	0
