gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0149	PSC.0150	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231
3992	g232.t1	10.5380738569188	-5.89048595227691	1.38274828648079	-4.25998427180747	2.04441289418059e-05	0.000236402314086569	1	9	0	0	0	56	21	0	0	0	0	2	12	1	41
3993	g23215.t1	140.429001683192	-2.33785654784713	0.720264921162717	-3.24582869324408	0.00117109286054712	0.00670812656551153	16	198	15	27	74	165	703	52	38	103	25	43	408	106	14
3994	g23222.t1	11.8953082034688	-3.20535889254577	0.948841040039088	-3.3781832333198	0.000729664435119457	0.00458104760702538	3	38	1	4	4	13	37	5	1	2	0	5	15	4	0
3995	g23223.t1	19.1849375509278	-3.46537953453461	0.93573573776889	-3.70337414150414	0.000212750754021503	0.00166709980559769	2	75	9	7	7	10	35	3	0	4	4	2	34	2	1
3996	g23224.t1	62.5189967885441	-4.98261995583734	1.045479675956	-4.76586974422165	1.88040716127601e-06	3.17832882298488e-05	2	8	1	18	2	527	143	7	0	3	2	4	108	1	123
3997	g23225.t1	56.6255888959946	-4.94385444593572	1.07392344786946	-4.60354455966462	4.15360275086825e-06	6.21460549896505e-05	0	5	0	5	1	507	105	8	2	5	11	2	114	3	100
3998	g23229.t1	361.713017312623	-1.62752799825543	0.408239458235719	-3.98669938787663	6.69988259326567e-05	0.000640530092378713	420	73	668	438	141	297	289	527	255	149	176	152	666	210	506
3999	g23233.t1	6.0095236505521	-3.46189476626719	1.40437464012471	-2.46507923694761	0.0136982955222545	0.0468483439177959	7	27	2	5	0	4	0	0	0	0	0	2	1	1	5
4000	g23235.t1	55.8470127549362	-1.16925451665823	0.380104124202755	-3.07614267303906	0.00209697478757677	0.0107075878048675	23	26	28	35	40	120	144	24	42	22	60	43	131	70	58
4001	g23238.t1	286.54593575361	-1.4449790460888	0.439683145208125	-3.28640991094807	0.00101473226607854	0.00595597736750116	277	55	62	89	257	961	510	132	205	237	173	158	589	262	473
4002	g23246.t1	770.620319681025	-1.76073799093318	0.387682412379222	-4.54170200842349	5.58018802664325e-06	8.03777416487528e-05	945	130	1706	739	299	975	809	914	336	231	612	370	1377	407	917
4003	g23248.t1	212.831694635984	-1.90268610173267	0.40588419107369	-4.68775612250252	2.76216900925295e-06	4.37158204207663e-05	208	28	485	110	114	189	173	353	87	107	115	112	454	140	227
4004	g23259.t1	37.5520967288915	-2.34305558064797	0.602474002575275	-3.88905674042794	0.000100634590227203	0.000898196930513832	9	13	139	7	5	59	22	36	25	27	2	14	52	33	67
4005	g23262.t1	21.7923201657378	-2.79538270753939	0.89646069571764	-3.11824346666042	0.00181932445844185	0.00953514647732303	3	11	13	11	3	190	14	15	0	13	0	12	13	7	11
4006	g23264.t1	38.3362894757261	1.40074758985407	0.334363854418795	4.18929131047645	2.79826988458033e-05	0.000306845255716652	38	15	16	51	82	27	9	9	111	62	45	89	20	87	9
4007	g23268.t1	40.1954160853675	0.806217509998621	0.249772184124089	3.22781142674432	0.00124741175975753	0.00705377768488087	17	15	29	59	58	38	42	12	72	43	76	62	41	117	12
4008	g23269.t1	6.49320270593438	-3.46287161491144	1.08935806715485	-3.17881853480525	0.0014787663762189	0.0081015726891608	1	3	1	1	1	54	17	0	1	3	0	0	15	4	1
4009	g23270.t1	6.78645664328039	-6.49803260242407	1.61856269550675	-4.01469317219721	5.95231767902161e-05	0.00058376424744167	0	2	0	0	0	78	5	2	0	0	0	0	12	0	4
4010	g23274.t1	36.4592999537896	-2.75393405021079	0.39625523881585	-6.949899409382	3.65546764597815e-12	2.83462517995474e-10	75	12	53	5	22	93	55	40	11	12	7	10	87	17	14
4011	g23275.t1	34.3452195922426	-3.7497226522079	0.532112179665114	-7.04686491966374	1.82993804299712e-12	1.540494535418e-10	89	17	17	3	4	176	34	10	7	7	8	3	84	10	30
4012	g23276.t1	12.7298069768535	-3.84219851292857	0.598314089821363	-6.42170822698781	1.34753522242059e-10	7.34355781790163e-09	32	6	14	1	1	35	24	17	5	0	3	0	21	5	6
4013	g23277.t1	1.83413019059681	-4.57499672661174	1.54882937733814	-2.95384165199297	0.00313844996912376	0.0148741215951791	2	4	2	0	0	0	3	0	0	0	0	0	1	0	8
4014	g23279.t1	1155.72412721425	-5.23511982849298	0.607978703892483	-8.61069605724016	7.26182899702211e-18	1.76527719495026e-15	1190	98	1735	48	70	1423	672	4155	73	29	18	131	1680	178	1332
4015	g23279.t2	1330.15960563502	-6.56446126152575	0.525548819760644	-12.4906783436703	8.39349215449545e-36	4.53983006906273e-32	2754	172	1698	66	14	1284	1249	3111	16	32	16	22	3861	78	1941
4016	g23280.t1	31.4300317928573	-1.36877271973139	0.368167412528298	-3.71779976487241	0.00020096545519697	0.00158624138022125	40	6	34	30	23	66	33	47	20	12	13	26	48	33	21
4017	g23285.t1	253.363560070115	-0.961503907711223	0.261978495135613	-3.67016348885239	0.000242395385836792	0.00185570565200955	342	52	284	260	176	271	277	237	240	184	232	180	532	252	273
4018	g23287.t1	120.610124814524	-1.03737944322752	0.392331215089825	-2.64414199871914	0.00818982905598542	0.0313610175487766	179	19	128	121	113	59	138	166	144	103	49	64	178	111	166
4019	g23293.t1	216.534686306627	-3.52029669221935	1.04849617621157	-3.35747213207673	0.000786586722592023	0.004856679150479	2	32	9	134	6	738	920	20	1	21	41	64	216	2	913
4020	g23294.t1	17.8618211788592	-2.33353186971017	0.904836067972501	-2.57895540673904	0.00990995785939969	0.0364071893849741	2	12	3	14	5	24	91	0	3	13	2	10	8	1	63
4021	g23295.t2	34.7297704554276	2.61173825400064	0.962262344805244	2.71416445639805	0.00664431724627496	0.0267690509540333	17	18	11	64	67	11	0	0	45	52	205	45	0	73	0
4022	g23297.t1	36.3063623770411	1.01913401937879	0.35464888089052	2.87364228196562	0.00405768261393177	0.0181981681907989	18	9	22	33	92	50	24	6	103	51	21	70	28	105	18
4023	g2330.t1	16.0613249221905	-3.16518756475609	1.26140965418655	-2.50924634534943	0.0120989075008674	0.042499155431868	0	71	1	7	0	28	13	0	8	1	6	2	17	3	0
4024	g23302.t1	32.3545764720773	-4.02501126220122	1.2340732278985	-3.26156598426126	0.00110798642316482	0.00642489580948026	2	1	0	21	1	40	161	6	0	3	0	1	15	4	193
4025	g23303.t1	9.70153177006316	-4.25784244857538	1.06439837217057	-4.00023389728847	6.32799078901394e-05	0.000613604981180936	1	16	0	2	0	48	19	4	3	0	0	0	16	4	13
4026	g23304.t1	182.241280485362	-4.55216205995857	0.71050195399559	-6.4069662783599	1.48443634595369e-10	7.96917626419554e-09	18	52	574	15	3	128	496	507	13	30	4	31	131	34	82
4027	g23306.t3	5.70307716925963	-2.61801419159631	0.983985289607035	-2.66062330326284	0.00779961632779705	0.0302789698998545	2	12	1	3	4	2	11	12	1	0	0	5	3	0	4
4028	g23309.t1	65.3313049020885	-2.62179194770021	0.477739794658216	-5.48790780465733	4.06722237046885e-08	1.17169581870963e-06	26	81	38	14	14	71	90	85	33	14	44	6	126	36	133
4029	g23320.t1	23.4921014118437	-1.81233395863075	0.626108781540741	-2.89459916880724	0.00379642969408681	0.0173026661958222	13	0	69	2	23	49	32	28	24	15	4	12	24	14	27
4030	g23321.t1	44.0416818068281	-1.82388333097285	0.438461927815538	-4.15973021890322	3.18623719211223e-05	0.000341935722476925	11	17	123	9	33	106	67	38	29	20	33	20	54	28	38
4031	g23326.t1	3.05322650763813	-3.9631093978572	1.3863661237845	-2.85863115800805	0.0042547317930435	0.0188900312625685	8	9	0	0	0	1	9	0	0	1	0	2	2	0	2
4032	g23336.t1	1382.31650625993	-0.867379308959012	0.301901779602698	-2.87305132848332	0.00406528061446952	0.0182246883742329	1321	272	2192	1559	992	2443	1376	1243	1014	956	1680	1175	1684	1157	1463
4033	g23337.t1	101.635458103124	1.29738845478917	0.297335221609377	4.36338637503769	1.28064469475786e-05	0.000160103155497058	27	33	27	104	218	103	76	21	237	218	158	163	50	284	74
4034	g23341.t1	211.895130407458	-1.16225391051421	0.298825419389682	-3.88940777825391	0.000100489145781201	0.000897639417413829	241	40	220	131	141	324	200	261	200	173	210	124	369	175	269
4035	g23342.t2	435.306691302326	1.08182791920191	0.331150617739163	3.266875739468	0.00108741398792246	0.00632764971186184	515	55	388	606	838	285	154	149	779	657	1213	589	265	768	163
4036	g23343.t1	70.4310329351505	0.834755818459965	0.335886596793841	2.48523110605785	0.012946735446084	0.044781033125762	42	17	40	67	201	52	56	42	149	108	67	107	93	159	11
4037	g23344.t1	51.098174544438	-1.76661635000958	0.563081840760791	-3.1374060076643	0.00170449915230797	0.00908756440862028	10	56	62	16	28	219	41	43	39	39	5	22	45	67	22
4038	g23347.t1	1572.52115295403	-4.88076987027962	1.08943900931029	-4.48007628565602	7.46163659101707e-06	0.000102495242214647	9	209	18	225	30	1278	8243	50	21	247	170	97	324	10	10420
4039	g23349.t1	917.494380670615	-2.31524532349949	0.444651317634714	-5.20687835991412	1.92043891318347e-07	4.47319944975386e-06	2077	169	2432	544	353	755	831	1485	319	200	235	522	1209	509	548
4040	g2335.t1	178.820078501518	-3.11651732769953	1.16560054763973	-2.67374387736029	0.00750097145011711	0.0293832187802433	0	584	20	121	1	748	70	0	20	24	64	37	42	32	203
4041	g23350.t1	187.70010440909	-2.17110497933273	0.586541271668826	-3.70153829611258	0.000214296303913413	0.00167617517540372	229	10	40	58	88	651	152	79	34	112	131	63	749	102	379
4042	g23354.t1	25.1147523739571	0.950019146771588	0.322565939445096	2.9451936196546	0.0032275262060194	0.0151949668220054	18	1	15	37	50	24	16	4	47	30	33	49	38	77	14
4043	g23358.t1	83.4619005103612	-0.814262195753869	0.220246100865527	-3.69705612291872	0.000218114135595741	0.0017014802527429	80	37	46	64	83	158	104	73	69	78	72	65	144	118	73
4044	g23365.t1	60.1304699730351	-1.96017682309462	0.554345784281515	-3.53601827356764	0.000406206594361112	0.00283492892548473	40	29	18	33	35	155	69	8	34	28	16	33	53	38	266
4045	g23366.t1	38.2386383326673	-3.25206148900418	1.17667369763573	-2.76377511925224	0.00571369023214621	0.0237768201908989	0	4	0	7	3	170	53	0	5	12	2	25	13	7	237
4046	g23369.t1	387.742397239541	-1.58475605406976	0.380925497825786	-4.1602782253094	3.17860138648768e-05	0.000341455019844394	395	78	900	147	125	392	418	493	235	183	433	257	663	327	406
4047	g23372.t1	40.2039306300539	-2.17577430164612	0.826011144101421	-2.6340737860299	0.00843671515397626	0.0321183058870801	4	38	3	36	3	61	129	5	4	41	4	22	44	8	145
4048	g23376.t1	4.7836611549912	-3.30366065488211	1.26404968007734	-2.61355285868192	0.0089606221640862	0.0336101006449384	9	0	9	0	0	28	11	0	4	0	0	0	9	5	1
4049	g23376.t2	12.3335779190305	1.8819406447198	0.60903087780897	3.09005784975994	0.00200117513760993	0.0103281068946066	0	7	0	28	21	9	8	2	26	10	33	34	2	28	6
4050	g23378.t1	14.8151827898319	-5.61627362689236	1.59295923264003	-3.52568572491616	0.000422387890091495	0.00292990125108352	1	2	4	2	0	904	3	0	0	0	0	122	233	1	0
4051	g23383.t1	185.519947811914	0.829664502300873	0.237416238899321	3.49455667458662	0.000474849780662872	0.00321545383556846	120	46	132	220	445	190	181	42	456	292	150	287	167	406	91
4052	g23385.t1	65.8104634035082	1.43257302318473	0.352334190021878	4.06594949838894	4.78372949321379e-05	0.000483199242181928	36	195	15	133	114	55	39	7	259	125	89	57	45	130	28
4053	g23404.t1	442.645907172404	-1.12963600422571	0.393567069447373	-2.87025031289302	0.00410146975684499	0.0183456815172385	387	57	714	523	332	409	562	509	467	324	105	308	839	410	549
4054	g23411.t1	234.775256450228	1.05297511161454	0.237281023527494	4.43767097747927	9.09374816458067e-06	0.00012129669638761	217	45	166	427	492	165	207	52	302	332	404	479	190	519	72
4055	g23420.t1	17.8059470644459	-2.304715543296	0.802285494636884	-2.87268753916475	0.00406996434165633	0.0182419056415444	0	16	2	6	4	109	34	3	5	2	13	6	24	19	21
4056	g23422.t1	224.758418767029	-5.46462741451354	1.1398121034116	-4.79432302759131	1.63225082395028e-06	2.80936726938459e-05	16	162	13	6	12	2642	16	4	3	23	0	23	458	19	2
4057	g23439.t1	17.5584461032658	1.65373676060258	0.560808297933112	2.94884502725353	0.00318963877256641	0.0150540651929482	19	0	3	14	30	24	9	2	55	28	46	33	2	54	6
4058	g23443.t1	64.600821845092	-0.90665217131485	0.296297771281057	-3.05993584560187	0.00221384407951974	0.0111809131347617	106	52	46	42	89	69	53	69	66	49	54	39	57	61	57
4059	g23445.t1	12.1371819484883	1.98326733823809	0.465960243675399	4.25630161619472	2.07836283983342e-05	0.00023994332998824	0	0	5	12	29	6	11	2	40	24	20	31	9	34	4
4060	g23449.t1	9.74450760856414	-1.95786333155611	0.771239321739773	-2.53859376249065	0.0111298974865799	0.0398196295758503	10	20	6	0	7	5	14	4	5	7	13	0	12	1	15
4061	g23451.t1	37.0343190714716	-1.77881993757468	0.250769525799548	-7.09344539334725	1.30813586415232e-12	1.14581050287188e-10	68	28	29	20	16	76	63	27	20	19	20	16	48	39	35
4062	g23452.t1	149.376752537073	-0.882557943907581	0.270545947255831	-3.26213699691101	0.0011057569115201	0.00641712735534801	205	26	168	140	170	162	265	105	128	118	70	122	286	213	140
4063	g23453.t1	202.788843762037	-1.69641847132733	0.430378131186036	-3.94169300994067	8.0908490143747e-05	0.000747099950601779	96	35	161	113	124	258	263	197	114	152	53	163	833	113	326
4064	g23454.t1	43.3677661539616	-2.65415835457003	0.638468513894846	-4.15707007754993	3.22355132980305e-05	0.000345255113961827	13	5	11	8	7	27	49	63	25	13	10	25	182	16	141
4065	g23463.t1	765.585510467129	1.04022087633932	0.232082625991074	4.48211438446637	7.39071093541052e-06	0.000101910791005485	686	227	619	1293	1126	317	452	259	1361	1201	1914	982	535	1678	315
4066	g23465.t1	338.06258059982	0.785086295037406	0.243590187017373	3.22297997571394	0.00126864422097712	0.00713653606886113	402	82	151	507	675	135	246	172	668	496	395	550	268	714	226
4067	g23466.t1	288.740263408816	-0.610439432131501	0.228523213672845	-2.67123598657862	0.00755724960187516	0.0295662016521825	312	171	380	213	358	299	305	190	420	256	118	270	431	494	198
4068	g2347.t1	3.81508196832106	2.34799143893863	0.917635154811847	2.55874181217486	0.0105051730647009	0.0381341307474504	1	1	2	9	10	0	4	0	23	4	0	9	1	7	0
4069	g23471.t1	25.7762746292961	-2.36222001703182	0.750942383594654	-3.14567411380379	0.00165704530078617	0.00887380571349227	6	53	3	2	7	85	32	1	17	24	6	8	62	8	25
4070	g23473.t1	16.4278843870192	-2.59159408469062	0.982627402164656	-2.63741279653054	0.00835411018415333	0.0318711292248558	3	49	1	3	0	84	5	2	3	4	13	4	7	15	3
4071	g23476.t1	2.42629299471254	-3.71593532915999	1.48298806656818	-2.50570817994451	0.0122206433977522	0.0428167805522864	0	7	0	0	0	9	4	0	0	0	0	1	4	2	2
4072	g23477.t1	81.8141319658385	-2.1185761005228	0.730703731945218	-2.89936400746565	0.00373920511929571	0.0170994932902056	10	97	8	24	20	495	96	4	33	66	15	56	106	55	97
4073	g23478.t1	522.170165516775	-1.65341987555844	0.392646860644053	-4.21095911182471	2.54288772852049e-05	0.000284464198586043	564	68	918	318	309	380	504	934	343	243	260	299	933	482	614
4074	g23479.t2	61.8040705652133	-1.78394234610614	0.520528102533688	-3.42717777853442	0.00060988964202473	0.00395888461002251	45	16	69	39	29	30	51	117	29	27	4	46	148	83	107
4075	g23481.t1	42.4259991278663	1.53543340323412	0.323996319713068	4.73904581568676	2.14726954648826e-06	3.56617221165877e-05	11	144	7	49	123	29	32	8	92	56	70	87	34	133	13
4076	g23485.t1	115.279109727321	2.16448015470609	0.477720685721385	4.5308487143227	5.87471979012463e-06	8.38387616486454e-05	30	66	20	186	336	67	34	13	340	164	240	251	11	286	13
4077	g23486.t1	67.062013472632	-2.32585323688898	0.61843879999944	-3.76084624200662	0.000169339500893438	0.00137628102998855	70	125	15	8	11	66	47	65	73	20	39	24	245	19	18
4078	g23489.t1	1039.17430521881	-4.33462864032349	0.971031823574536	-4.46394086690894	8.04657801847582e-06	0.000109077515933411	19	47	20	54	45	6025	2259	59	30	126	155	346	1116	38	4746
4079	g23490.t1	352.961237562302	-4.60996594853129	1.0030766563584	-4.59582617072105	4.3103793985232e-06	6.39171064338927e-05	8	11	16	36	5	2230	777	20	5	35	20	114	360	7	1509
4080	g23499.t1	726.033435570761	0.994751726980783	0.288370427650782	3.44956220055072	0.00056149635847752	0.00369801330765941	631	131	561	1010	1092	309	463	485	1241	1019	1313	1300	365	2251	247
4081	g23505.t1	66.4964707363446	-1.48271471658917	0.557370825680497	-2.66019434149414	0.00780955753975479	0.0302903867645383	51	4	24	15	57	71	66	97	51	38	580	51	69	42	228
4082	g23506.t1	5.56655755965829	-2.25666575092871	0.907977672872243	-2.48537581743624	0.0129414730667556	0.0447780591156159	9	11	5	0	0	3	4	2	5	0	0	9	9	3	9
4083	g23508.t1	562.738743296598	-4.95800055569013	0.651712709844575	-7.60764748146855	2.79129923614864e-14	3.35498660967088e-12	1096	102	574	123	7	371	526	1474	19	52	47	14	956	13	1194
4084	g23509.t1	25257.4967303243	-5.22089229726643	0.654453765521312	-7.97748072105241	1.49350222584732e-15	2.3079943325862e-13	45406	3603	21464	4085	206	12761	21542	76009	765	2038	1785	791	50629	770	47449
4085	g23510.t1	34.7692461793594	1.27529145028132	0.253574529436387	5.02925689388393	4.92384341228914e-07	9.9931850117144e-06	21	14	17	57	62	8	30	10	55	56	62	75	24	95	14
4086	g23512.t1	25.0620448096386	1.72711030268765	0.630640107529817	2.73866232430513	0.00616896985335652	0.025248895720274	20	15	9	56	40	13	11	2	24	19	140	30	2	36	2
4087	g23513.t2	107.774490295465	-1.38390726008377	0.5341695793063	-2.59076389539252	0.00957631675488044	0.0353797153333057	55	24	134	64	128	184	213	132	43	62	97	24	14	119	231
4088	g23517.t1	88.4420568807649	-1.13438628287561	0.269141219694539	-4.21483667259546	2.49959015613719e-05	0.000280782102949263	62	57	145	65	82	81	89	81	76	64	33	85	118	90	124
4089	g23520.t1	19.251577179451	-2.21004723085569	0.779564726334209	-2.83497592463953	0.00458291392298662	0.020050827648901	36	30	47	23	0	11	34	10	7	6	0	5	6	20	9
4090	g23520.t2	261.901335653429	-1.37552540434868	0.479011213974514	-2.87159332437229	0.00408408171201654	0.0182938111468898	712	100	745	137	175	127	108	272	207	169	214	192	181	185	108
4091	g23521.t1	17.9099561254772	-1.901124006479	0.61281668191008	-3.10227195603327	0.00192041445221028	0.00998754006576186	9	32	4	4	17	46	17	1	7	7	7	8	31	19	33
4092	g23535.t2	44.8001861220523	1.90517570456763	0.212729388592722	8.95586508836892	3.37081987248018e-19	1.08847295434491e-16	21	12	16	89	113	23	25	5	89	66	81	99	16	144	15
4093	g23537.t1	295.507854107302	-1.42144585125449	0.311585045830121	-4.56198354278362	5.06726199060573e-06	7.39745028115755e-05	166	149	231	179	238	274	347	463	199	193	151	187	656	291	370
4094	g23539.t1	5.62654952378773	-3.85816441356059	1.53666928830984	-2.51073177743022	0.0120481201379134	0.0423563664581991	0	10	0	0	0	5	0	24	0	3	0	2	3	1	1
4095	g2354.t1	971.331939930745	-1.45619808607355	0.349930935497418	-4.16138711487054	3.16320350686548e-05	0.000340138707112498	1275	210	1257	826	518	975	830	1479	655	683	804	451	1780	510	1196
4096	g23543.t1	3.24676015487043	-5.42078396582808	1.54269447966351	-3.51384155274247	0.000441676184498993	0.0030287366883156	0	1	1	0	0	9	0	7	0	0	0	0	9	0	12
4097	g23544.t1	40.7968080269053	-3.25240360426697	0.878929978282896	-3.70041264336092	0.000215249168929866	0.00168299571116043	3	49	8	2	24	72	10	36	3	3	0	4	96	42	162
4098	g23545.t1	46.0740008692339	1.71066402127449	0.462934642325355	3.69526033455111	0.000219661598771395	0.00171256889708798	29	21	13	46	147	33	9	7	35	57	185	101	15	79	15
4099	g23546.t1	516.592625589249	-0.678913531691861	0.209670772947198	-3.23799794386618	0.00120371677048922	0.00686732074591894	604	115	624	530	509	595	680	422	610	462	363	473	841	638	459
4100	g2355.t1	66.7800167499443	1.13304410232413	0.282198481648499	4.01506094471276	5.94304358796846e-05	0.000583119038665295	30	25	62	115	142	52	47	15	146	76	166	81	31	126	24
4101	g23550.t1	107.962589536006	-2.84738728532976	0.574569042492053	-4.95569213576128	7.20732601019272e-07	1.37869582874023e-05	25	101	14	46	23	72	154	233	30	36	15	35	207	42	246
4102	g23559.t1	10.2804301138574	1.72233500089294	0.460044586551275	3.7438436430791	0.00018122645374772	0.00145810127438896	2	6	4	10	27	8	6	1	28	26	11	21	2	26	3
4103	g2356.t3	198.191149728733	1.22957910060338	0.320784357727435	3.83303945776599	0.00012656964226457	0.00108835201342769	204	16	129	215	355	122	158	49	391	409	536	285	89	393	97
4104	g23560.t1	20.8600898066771	1.10381309434163	0.343808240273645	3.21054868685835	0.00132481823815781	0.0073948510274882	12	248	12	25	30	17	14	5	42	59	46	21	21	40	4
4105	g23561.t1	8.3738819165432	1.46701742136365	0.480267794880142	3.05458212481177	0.00225374300675776	0.0113279702870189	9	115	5	10	15	5	2	1	29	14	22	9	5	17	1
4106	g23562.t1	67.9186235916432	-1.36812256031534	0.401814627607308	-3.40486001831771	0.000661979775781453	0.00423475235039377	73	16	150	59	68	95	45	95	41	23	63	32	64	45	73
4107	g23569.t1	139.992026675461	-1.06256307011897	0.427527960347902	-2.48536509578064	0.0129418628911461	0.0447780591156159	107	22	127	109	91	89	132	250	142	50	152	89	219	191	213
4108	g2357.t1	95.7968358379628	0.872455297145679	0.226002789933955	3.86037401308469	0.000113213602201984	0.000995614558551606	60	46	46	110	163	68	90	36	132	131	154	252	66	209	41
4109	g23574.t1	25.2008224796655	2.29541732213658	0.427263507118734	5.37236923793424	7.77087790587806e-08	2.05780836589562e-06	3	9	3	28	104	6	17	2	51	35	44	53	11	98	8
4110	g23578.t1	1679.5741742343	-1.79780428718119	0.460863386298367	-3.90094839518729	9.58165763044177e-05	0.000863027322375552	1550	316	1110	1367	394	1594	3288	1754	882	1145	1273	493	1869	795	5346
4111	g23584.t1	31.9419841958852	-4.78197436555635	1.24124935441223	-3.85254932746431	0.000116894418572345	0.00102059988598453	7	136	62	7	0	7	0	2	6	0	0	1	61	6	3
4112	g23596.t1	1136.30384646676	-2.74639690013361	0.500873386464725	-5.48321586722402	4.17662854666016e-08	1.19842650672404e-06	3385	535	622	648	145	1881	2273	596	481	568	232	227	4142	112	565
4113	g23597.t1	32.3922446125615	1.62340980758441	0.30215095068732	5.37284361969256	7.75045418835972e-08	2.05491515153385e-06	17	12	7	54	101	22	23	3	81	63	52	47	17	63	11
4114	g23598.t1	58.9836413595974	-0.873232817714327	0.324244687808097	-2.69312914150546	0.00707848454124258	0.0281099510003273	51	52	30	30	55	71	49	41	75	69	27	39	80	86	100
4115	g23605.t1	133.678728434516	-0.538975627227179	0.220375782948494	-2.44571168399727	0.0144566555369631	0.0488626374851112	191	59	135	140	151	136	127	110	167	127	59	134	178	226	102
4116	g23606.t1	751.836844617075	0.484759544055203	0.185372047435928	2.61506279269401	0.00892110529184157	0.0335199918355318	764	151	725	1129	1172	555	586	397	1096	954	1049	1029	650	1768	481
4117	g2361.t1	1393.88490603509	-1.9343453286695	0.403617426834171	-4.79252182900478	1.64697845235094e-06	2.83080420131538e-05	1872	191	949	1154	531	3376	1792	1886	878	664	779	388	2873	510	1838
4118	g2361.t2	1615.13468865794	-2.15409682981977	0.362326431119438	-5.94518269938108	2.76148678321264e-09	1.07842538907591e-07	2897	374	1466	1239	547	3270	2448	1987	1003	878	470	301	2900	618	2111
4119	g2362.t1	10.2563346689396	-4.32908354765446	1.09654983024786	-3.94791319850546	7.88353760756201e-05	0.000732055799739639	4	41	4	4	2	17	8	5	0	0	0	1	11	1	0
4120	g23621.t1	25.30186135677	0.774817727105533	0.263440149660178	2.94115277456758	0.00326993215910382	0.0153621955200602	26	3	16	31	54	15	20	10	53	42	36	35	17	49	23
4121	g23625.t1	181.30168500545	1.61819209862208	0.492358825589456	3.28661133815315	0.00101400679881314	0.00595481797352368	114	50	87	216	204	39	209	20	647	710	83	163	48	640	63
4122	g23626.t1	16.7969906650779	2.28203343384913	0.664405455581512	3.43470002342441	0.000593210097892859	0.00387503033451449	3	5	4	9	90	1	4	3	55	34	5	21	2	66	14
4123	g23629.t1	48.9013644254924	-1.73752345715966	0.501515358627103	-3.46454685239576	0.000531125612303044	0.00352589831917041	134	41	100	43	19	64	28	25	13	11	11	19	57	101	30
4124	g23633.t1	2726.19485118518	-1.04548515671679	0.325497461015086	-3.21196101946962	0.00131832261554388	0.00736845140002019	3172	685	3453	2125	2803	3759	2468	3114	2668	2915	642	1896	3451	2987	3640
4125	g23634.t1	61.5613396090913	1.60311116379598	0.351040653962258	4.56673933831132	4.95369371518247e-06	7.24840775635003e-05	49	8	35	63	166	17	57	12	162	112	116	124	38	142	8
4126	g23646.t1	39.5707430033992	-1.36155342974272	0.556235534302594	-2.44780015978273	0.0143731350401452	0.0486335277750298	17	15	7	22	18	152	82	5	17	30	20	30	101	70	50
4127	g23647.t1	369.215357600369	-4.03225722481608	0.564510891300182	-7.14292192933423	9.13675258906351e-13	8.16833232497475e-11	103	62	174	64	28	333	450	1059	64	53	27	52	1028	83	840
4128	g23649.t1	53.2998543213568	-2.17178904662607	0.722746851479085	-3.00490973040084	0.0026565968017859	0.0129712190942536	10	143	14	17	11	150	48	3	25	28	4	26	63	71	51
4129	g23650.t1	101.35861638893	-2.18729541295402	0.419171129869674	-5.21814423057732	1.80724713308678e-07	4.2407583215111e-06	92	50	241	46	39	64	63	195	62	34	21	56	165	66	99
4130	g23651.t1	93.1419073245466	-2.27879636320465	0.403959291208058	-5.64115348452517	1.68914701423313e-08	5.38213485315668e-07	87	97	180	25	30	43	71	158	59	49	32	34	125	50	97
4131	g23652.t1	62.6755678827792	-2.05590845834106	0.585571259583402	-3.51094495280338	0.00044651685053961	0.0030521721558599	95	3	171	12	45	26	44	135	40	37	14	23	85	49	45
4132	g23653.t1	77.8034270205047	1.06240209897949	0.254029448249011	4.18220055313458	2.88701127124005e-05	0.000314979772331208	51	115	38	98	124	59	59	23	136	113	215	124	66	166	18
4133	g23660.t1	118.313779600872	-3.14772998971873	0.680688054204021	-4.62433558261809	3.75801034517567e-06	5.66977362746692e-05	17	125	10	27	20	813	187	24	18	48	28	18	236	50	82
4134	g23662.t1	60.8395240124665	-4.5461542595123	1.29425410333976	-3.5125670050272	0.00044380008429245	0.00304041001382747	1	68	0	11	0	419	125	0	2	3	0	23	69	1	120
4135	g23663.t1	251.800144079399	-0.931329840952929	0.285210010563113	-3.26541778500035	0.00109302730514548	0.00635518563472788	393	81	308	129	260	160	315	268	324	196	193	167	246	312	333
4136	g23670.t1	51.9257564002139	-3.50123932495143	1.37323252594926	-2.54963326224097	0.0107836289260296	0.038877489054266	1	23	0	4	0	607	22	1	4	2	0	58	72	1	12
4137	g23677.t1	172.544686960377	1.21989285963414	0.283711235498956	4.29976929707682	1.70976001290716e-05	0.00020246665505882	123	58	161	218	360	80	105	32	407	279	369	268	51	365	90
4138	g23684.t1	25.1448160003416	-4.82369243622056	1.03647959075948	-4.65391936245072	3.25684213681238e-06	5.01150637481763e-05	4	15	3	0	0	121	77	1	5	7	0	0	53	3	71
4139	g23689.t1	37.6330772640541	1.04927520022983	0.275490145840432	3.80875764913051	0.000139666764930572	0.00118127070339051	29	14	15	65	78	24	35	8	76	46	60	71	43	81	7
